,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601997.SH,20190107,10.94,10.97,10.8,10.88,10.89,-0.01,-0.0918,84398.91,91651.005
1,601997.SH,20190104,10.51,10.97,10.51,10.89,10.61,0.28,2.639,127238.55,137412.29
2,601997.SH,20190103,10.57,10.7,10.56,10.61,10.57,0.04,0.3784,49368.57,52443.181
3,601997.SH,20190102,10.7,10.7,10.51,10.57,10.68,-0.11,-1.03,53514.92,56542.93
4,601997.SH,20181228,10.59,10.72,10.59,10.68,10.58,0.1,0.9452,60657.83,64598.634
5,601997.SH,20181227,10.76,10.79,10.58,10.58,10.66,-0.08,-0.7505,65396.04,69833.353
6,601997.SH,20181226,10.68,10.7,10.61,10.66,10.69,-0.03,-0.2806,33703.3,35917.042
7,601997.SH,20181225,10.64,10.7,10.55,10.69,10.73,-0.04,-0.3728,86614.88,92002.796
8,601997.SH,20181224,10.68,10.74,10.67,10.73,10.7,0.03,0.2804,57098.89,61107.267
9,601997.SH,20181221,10.73,10.76,10.66,10.7,10.77,-0.07,-0.65,55226.43,59108.23
10,601997.SH,20181220,10.82,10.85,10.73,10.77,10.82,-0.05,-0.4621,57743.66,62177.771
11,601997.SH,20181219,10.88,10.91,10.82,10.82,10.87,-0.05,-0.46,40961.73,44524.249
12,601997.SH,20181218,10.86,10.93,10.83,10.87,10.95,-0.08,-0.7306,53503.68,58189.902
13,601997.SH,20181217,10.95,11.01,10.81,10.95,11.0,-0.05,-0.4545,100096.96,109107.477
14,601997.SH,20181214,11.15,11.18,11.0,11.0,11.19,-0.19,-1.6979,81180.62,89909.877
15,601997.SH,20181213,11.1,11.27,11.08,11.19,11.1,0.09,0.8108,80832.66,90558.558
16,601997.SH,20181212,11.09,11.14,11.04,11.1,11.08,0.02,0.1805,46313.95,51384.699
17,601997.SH,20181211,11.01,11.13,11.0,11.08,10.99,0.09,0.8189,40634.88,44960.817
