,order_time,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20070329,28.06077,1400,39285.078,40.07077956,39325.148779560004,1400,39285.078,60950.22279859128,0.0,100235.30079859128,0.0,0.0003496273707920272
1,20070403,28.692637000000005,1300,37300.428100000005,38.046436662000005,37338.474536662005,2700,77470.11990000002,23620.891252483372,0.0,101091.01115248339,0.0,-0.00231211807420606
2,20070405,29.292068000000004,1300,38079.68840000001,38.841282168000006,38118.52968216801,4000,117168.27200000001,0.0,14495.276281507158,102672.99571849285,0.14117905277888326,-0.004222918505442319
3,20070409,29.892494000000006,1300,38860.24220000001,39.63744704400001,38899.87964704401,5300,158430.21820000003,0.0,53403.85439889493,105026.3638011051,0.5084804659145308,-0.006185709576448595
4,20070419,31.794943,-5300,-168513.1979,340.396659758,-168172.801240242,0,0.0,114640.64293229973,0.0,114640.64293229973,0.0,0.05740557453149264
5,20070423,33.30798,1500,49961.97,50.9612094,50012.9312094,1500,49961.97,64639.176073794595,0.0,114601.1460737946,0.0,0.05773032426856828
6,20070424,34.6248,1400,48474.72,49.44421440000001,48524.1642144,2900,100411.92,16118.243818198294,0.0,116530.16381819829,0.0,0.04186961967030012
7,20070430,35.421371,1400,49589.9194,50.581717788,49640.501117788,4300,152311.8953,0.0,33519.03340904434,118792.86189095565,0.28216369969950467,0.023265339937160956
8,20070508,36.43813,1300,47369.569,48.316960380000005,47417.88596038,5600,204053.528,0.0,80946.97507944706,123106.55292055293,0.6575358757034352,-0.012202544869565735
9,20070530,39.06041,-5600,-218738.29599999997,441.85135792,-218296.44464207996,0,0.0,136960.0486298083,0.0,136960.0486298083,0.0,0.0996115682545301
10,20070618,41.78762,800,33430.096,34.09869792,33464.19469792,800,33430.096,103584.90467560425,0.0,137015.00067560424,0.0,0.0992503082606091
11,20070625,38.566787999999995,-800,-30853.430399999997,62.32392940799999,-30791.106470591996,0,0.0,134401.90996211732,0.0,134401.90996211732,0.0,0.1164290160156316
12,20070726,42.921980000000005,1000,42921.98,43.7804196,42965.7604196,1000,42921.98,91590.79677794277,0.0,134512.77677794278,0.0,0.11570016698679175
13,20070730,44.0731085,1000,44073.108499999995,44.954570669999995,44118.063070669996,2000,88146.21699999999,47481.89301592757,0.0,135628.11001592755,0.0,0.10836785982810293
14,20070803,45.254332500000004,1000,45254.332500000004,46.159419150000005,45300.49191915,3000,135762.9975,2190.8981876329126,0.0,137953.8956876329,0.0,0.0930779228393751
15,20070806,46.4278,1000,46427.799999999996,47.356356,46475.15635599999,4000,185711.19999999998,0.0,44284.148623457695,141427.05137654228,0.31312360819538987,0.0702450658476439
16,20070911,51.39479749999999,-4000,-205579.18999999994,415.2699637999999,-205163.92003619994,0,0.0,160533.05662801518,0.0,160533.05662801518,0.0,0.06783969667272605
17,20070917,54.488400000000006,1200,65386.08000000001,66.6938016,65452.77380160001,1200,65386.08000000001,95112.39184581695,0.0,160498.47184581697,0.0,0.06804051862019012
18,20070928,55.802672,1200,66963.2064,68.30247052799999,67031.50887052799,2400,133926.4128,28123.69211273367,0.0,162050.10491273366,0.0,0.0590307185161455
19,20071008,57.128728,1100,62841.6008,64.098432816,62905.699232816,3500,199950.548,0.0,34780.60093547669,165169.94706452332,0.21057463269567867,0.040914867067030625
20,20071016,58.534648,1100,64388.112799999995,65.675875056,64453.78867505599,4600,269259.3808,0.0,99297.04166481356,169962.33913518643,0.584229672114795,0.013087092899595087
21,20071018,56.021661,-4600,-257699.6406,520.553274012,-257179.08732598802,0,0.0,157822.45849944185,0.0,157822.45849944185,0.0,0.08357920868852298
22,20080110,57.02211,1400,79830.954,81.42757308,79912.38157308,1400,79830.954,78368.41486646092,0.0,158199.36886646092,0.0,0.08139061968743144
23,20080116,55.045067,-1400,-77063.0938,155.667449476,-76907.42635052401,0,0.0,155291.51607552366,0.0,155291.51607552366,0.0,0.0982755217541258
24,20090204,21.18563,3400,72031.14199999999,73.47176483999999,72104.61376483999,3400,72031.14199999999,85163.76788136562,0.0,157194.9098813656,0.0,0.08722316789833273
25,20090205,21.645460000000003,3300,71430.01800000001,72.85861836000002,71502.87661836001,6700,145024.58200000002,13665.149451399688,0.0,158689.7314513997,0.0,0.07854325263719164
26,20090206,22.117885,3300,72989.0205,74.44880090999999,73063.46930091,10000,221178.85,0.0,59397.63659203774,161781.21340796226,0.3671479236730364,0.060592079097665064
27,20090209,22.71593,3200,72690.976,74.14479551999999,72765.12079552,13200,299850.276,0.0,132180.57667853535,167669.69932146466,0.7883390810232932,0.026399664584635274
