,ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,vol,amount
0,000300.SH,20181203,3144.7631,3256.2282,3267.94,3134.3845,3172.69,88.2602,2.7819,348696059.0,417172752.9
1,000300.SH,20181126,3260.9502,3152.7743,3273.6397,3126.289,3143.4752,-2.2318,-0.071,403196454.0,449620540.31000006
2,000300.SH,20181119,3141.2434,3268.0768,3278.7845,3131.636,3257.6735,36.9296,1.1336,402596566.0,420816139.1
3,000300.SH,20181112,3294.6031,3164.9222,3294.6031,3161.0979,3167.4442,37.6965,1.1901,581694363.0,589677387.1
4,000300.SH,20181105,3205.1407,3254.9778,3270.5003,3152.4399,3290.2455,-27.4104,-0.8331,424244359.0,464297726.0
5,000300.SH,20181029,3262.8351,3061.93,3290.2455,3050.7709,3173.635,-96.7461,-3.0484,623103722.0,696757670.911
6,000300.SH,20181022,3076.8889,3273.1271,3276.0205,3062.5803,3134.9455,135.3277,4.3167,532013945.0,591385167.5
7,000300.SH,20181015,3270.2732,3128.5764,3297.3803,3009.4983,3170.7262,-44.2746,-1.3964,464198560.0,522645574.0999999
8,000300.SH,20181008,3126.4516,3290.1705,3315.7309999999998,3094.9657,3438.8649,-147.9661,-4.3028,420373618.0,464823607.823
9,000300.SH,20180917,3290.8988,3193.6423,3448.2595,3193.6423,3242.0902,-37.1678,-1.1464,746832785.0,892129667.2469999
10,000300.SH,20180910,3204.9224,3229.7052,3254.1043,3191.3975,3277.6438,-47.5757,-1.4515,292799718.0,359629253.956
11,000300.SH,20180903,3230.0681,3324.1859999999997,3370.9629999999997,3227.8481,3334.5036,-12.6788,-0.3802,321455442.0,403360868.6
12,000300.SH,20180827,3321.8248,3408.1502,3416.5929,3291.7842,3325.3347,81.2388,2.443,353486542.0,431641877.03300005
13,000300.SH,20180820,3406.5735,3271.8402,3406.5735,3270.0302,3229.6198,37.63,1.1652,345140953.0,436845974.58699995
14,000300.SH,20180813,3267.2498,3386.4832,3391.7290000000003,3209.0115,3405.0191,-14.675,-0.431,343672508.0,418209197.33
15,000300.SH,20180806,3390.3441,3284.9785,3424.0411,3263.4986,3315.2839,-42.0111,-1.2672,408185184.0,483777264.14599997
16,000300.SH,20180730,3273.2728,3510.4744,3543.6059999999998,3257.6856,3521.2269,-6.1475,-0.1746,408410154.0,498814628.77099997
17,000300.SH,20180723,3515.0794,3530.6641,3596.5128,3489.5494,3492.8938,32.8565,0.9407,496315676.0,572578205.8840001
