,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002415.SZ,20181228,26.01,26.22,25.52,25.76,25.8,-0.04,-0.155,163799.82,422866.449
1,002415.SZ,20181227,26.6,26.62,25.8,25.8,25.91,-0.11,-0.4245,230156.11,603161.712
2,002415.SZ,20181226,26.19,26.34,25.8,25.91,26.12,-0.21,-0.804,149603.25,389320.758
3,002415.SZ,20181225,25.75,26.24,25.3,26.12,26.19,-0.07,-0.2673,200162.94,515715.572
4,002415.SZ,20181224,26.07,26.6,25.93,26.19,26.05,0.14,0.5374,143532.51,376872.805
5,002415.SZ,20181221,26.78,26.93,25.91,26.05,26.93,-0.88,-3.2677,304159.1,797694.281
6,002415.SZ,20181220,27.04,27.32,26.77,26.93,27.15,-0.22,-0.8103,245934.08,663510.787
7,002415.SZ,20181219,27.23,27.47,26.91,27.15,27.22,-0.07,-0.2572,177715.89,481817.721
8,002415.SZ,20181218,27.33,27.88,27.05,27.22,27.74,-0.52,-1.8745,260162.77,711530.933
9,002415.SZ,20181217,27.55,27.95,27.33,27.74,27.97,-0.23,-0.8223,188695.26,522068.503
10,002415.SZ,20181214,28.2,28.35,27.79,27.97,28.2,-0.23,-0.8156,294556.04,824818.073
11,002415.SZ,20181213,27.47,28.24,27.32,28.2,27.43,0.77,2.8071,459441.89,1287060.595
12,002415.SZ,20181212,27.16,27.52,26.99,27.43,26.87,0.56,2.0841,422539.66,1153430.548
13,002415.SZ,20181211,26.41,26.87,26.38,26.87,26.78,0.09,0.3361,292635.29,778619.654
14,002415.SZ,20181210,26.83,27.25,26.18,26.78,27.31,-0.53,-1.9407,317582.36,849381.79
15,002415.SZ,20181207,27.1,27.64,27.1,27.31,27.15,0.16,0.5893,234751.81,643036.62
16,002415.SZ,20181206,27.32,27.73,26.88,27.15,28.45,-1.3,-4.5694,623794.07,1699252.406
17,002415.SZ,20181205,28.1,28.73,27.82,28.45,28.81,-0.36,-1.2496,302611.68,856901.327
18,002415.SZ,20181204,29.22,29.34,28.42,28.81,29.25,-0.44,-1.5043,388900.48,1122535.653
19,002415.SZ,20181203,29.62,29.89,28.4,29.25,27.17,2.08,7.6555,984262.81,2875558.564
20,002415.SZ,20181130,26.28,27.21,26.1,27.17,26.32,0.85,3.2295,337677.22,902874.031
21,002415.SZ,20181129,27.29,27.38,26.12,26.32,26.72,-0.4,-1.497,360224.82,963388.283
22,002415.SZ,20181128,25.85,26.87,25.58,26.72,25.72,1.0,3.888,447895.6,1186765.636
23,002415.SZ,20181127,26.0,26.06,25.4,25.72,26.44,-0.72,-2.7231,377694.86,968759.946
24,002415.SZ,20181126,26.02,26.63,26.02,26.44,26.36,0.08,0.3035,192929.29,508655.099
25,002415.SZ,20181123,26.51,26.65,25.8,26.36,26.78,-0.42,-1.5683,399567.77,1043277.072
26,002415.SZ,20181122,26.69,26.92,26.44,26.78,26.52,0.26,0.9804,224849.74,600217.985
27,002415.SZ,20181121,26.28,26.97,25.65,26.52,26.72,-0.2,-0.7485,481692.3,1272759.644
28,002415.SZ,20181120,28.2,28.2,26.58,26.72,29.27,-2.55,-8.712,1067215.93,2902839.721
29,002415.SZ,20181119,28.7,29.62,28.5,29.27,28.8,0.47,1.6319,513039.27,1496226.304
30,002415.SZ,20181116,27.99,29.47,27.72,28.8,27.86,0.94,3.374,605668.37,1737925.561
31,002415.SZ,20181115,27.28,27.9,27.2,27.86,27.5,0.36,1.3091,289846.49,801023.404
32,002415.SZ,20181114,28.1,28.2,27.32,27.5,28.2,-0.7,-2.4823,406868.69,1123580.307
33,002415.SZ,20181113,27.0,28.48,26.9,28.2,27.78,0.42,1.5119,562622.37,1568115.911
34,002415.SZ,20181112,26.47,28.0,26.32,27.78,26.35,1.43,5.4269,596318.71,1629597.265
35,002415.SZ,20181109,27.0,27.01,26.21,26.35,26.94,-0.59,-2.1901,403469.53,1071706.013
36,002415.SZ,20181108,27.46,27.51,26.9,26.94,27.14,-0.2,-0.7369,298178.96,810551.892
37,002415.SZ,20181107,27.65,28.0,27.05,27.14,27.6,-0.46,-1.6667,443757.8,1219809.232
38,002415.SZ,20181106,28.38,28.38,27.09,27.6,28.23,-0.63,-2.2317,501255.04,1378419.7
39,002415.SZ,20181105,28.0,28.49,27.73,28.23,28.01,0.22,0.7854,944304.66,2651254.307
40,002415.SZ,20181102,28.0,28.01,27.2,28.01,25.46,2.55,10.0157,1582592.48,4411162.374
41,002415.SZ,20181101,25.14,26.14,24.81,25.46,24.2,1.26,5.2066,901939.12,2297490.229
42,002415.SZ,20181031,23.85,24.25,23.55,24.2,23.6,0.6,2.5424,350255.06,840140.421
43,002415.SZ,20181030,24.2,24.24,23.11,23.6,23.99,-0.39,-1.6257,365002.96,865763.522
44,002415.SZ,20181029,24.41,24.77,23.75,23.99,24.36,-0.37,-1.5189,488200.95,1182315.772
45,002415.SZ,20181026,24.39,24.59,23.96,24.36,23.75,0.61,2.5684,476118.09,1156532.549
46,002415.SZ,20181025,22.9,24.07,22.8,23.75,23.92,-0.17,-0.7107,541847.38,1262683.17
47,002415.SZ,20181024,23.5,24.23,23.5,23.92,23.68,0.24,1.0135,519903.05,1242799.229
48,002415.SZ,20181023,24.8,24.8,23.15,23.68,25.16,-1.48,-5.8824,998331.17,2382363.066
49,002415.SZ,20181022,23.5,25.42,23.13,25.16,24.0,1.16,4.8333,1275638.99,3107933.981
50,002415.SZ,20181019,24.2,24.4,22.29,24.0,24.2,-0.2,-0.8264,817800.97,1919069.954
51,002415.SZ,20181018,24.62,24.8,24.05,24.2,24.8,-0.6,-2.4194,334628.99,816631.332
52,002415.SZ,20181017,24.8,25.0,24.03,24.8,24.27,0.53,2.1838,261514.84,645956.944
53,002415.SZ,20181016,24.65,25.04,24.11,24.27,24.56,-0.29,-1.1808,246605.94,603103.425
54,002415.SZ,20181015,24.86,25.28,24.45,24.56,24.64,-0.08,-0.3247,419183.64,1043932.034
55,002415.SZ,20181012,24.04,25.0,23.86,24.64,23.81,0.83,3.4859,754962.23,1853864.283
56,002415.SZ,20181011,23.99,24.4,23.37,23.81,24.99,-1.18,-4.7219,798059.92,1911978.092
57,002415.SZ,20181010,24.98,25.3,24.41,24.99,24.94,0.05,0.2005,493184.43,1226442.76
58,002415.SZ,20181009,25.37,25.95,24.63,24.94,25.87,-0.93,-3.5949,821517.72,2063728.077
59,002415.SZ,20181008,27.6,27.6,25.87,25.87,28.74,-2.87,-9.9861,1054025.14,2766870.117
60,002415.SZ,20180928,28.99,29.0,28.12,28.74,28.76,-0.02,-0.0695,358018.38,1023554.415
61,002415.SZ,20180927,28.78,29.06,28.5,28.76,29.0,-0.24,-0.8276,503510.38,1451293.058
62,002415.SZ,20180926,28.61,30.0,28.35,29.0,28.6,0.4,1.3986,831649.99,2425200.912
63,002415.SZ,20180925,28.55,28.69,28.25,28.6,28.93,-0.33,-1.1407,273581.72,780157.123
64,002415.SZ,20180921,27.6,29.03,27.25,28.93,27.53,1.4,5.0854,550540.48,1564769.501
65,002415.SZ,20180920,27.8,28.06,27.4,27.53,27.87,-0.34,-1.2199,429718.99,1193820.97
66,002415.SZ,20180919,27.0,28.18,27.0,27.87,27.58,0.29,1.0515,635722.27,1759520.97
