,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300144.SZ,20181130,21.53,22.07,21.4,21.99,21.56,0.43,1.9944,47193.66,103257.958
1,300144.SZ,20181129,21.77,22.1,21.55,21.56,21.65,-0.09,-0.4157,67074.26,146420.048
2,300144.SZ,20181128,21.58,21.68,21.18,21.65,21.58,0.07,0.3244,63546.68,136242.701
3,300144.SZ,20181127,21.38,21.85,21.38,21.58,21.23,0.35,1.6486,52211.31,112941.719
4,300144.SZ,20181126,21.55,21.68,21.19,21.23,21.57,-0.34,-1.5763,36295.13,77488.689
5,300144.SZ,20181123,21.9,21.93,21.18,21.57,21.93,-0.36,-1.6416,71568.64,153870.4
6,300144.SZ,20181122,22.11,22.13,21.77,21.93,22.12,-0.19,-0.8590000000000001,39755.99,86996.023
7,300144.SZ,20181121,22.22,22.35,21.7,22.12,22.1,0.02,0.0905,56206.66,123193.122
8,300144.SZ,20181120,22.16,22.59,22.08,22.1,22.39,-0.29,-1.2952,51280.72,114260.741
9,300144.SZ,20181119,22.65,22.65,22.06,22.39,22.86,-0.47,-2.056,73456.04,164203.536
10,300144.SZ,20181116,22.99,23.19,22.45,22.86,22.88,-0.02,-0.0874,69819.44,159260.426
11,300144.SZ,20181115,22.74,22.94,22.44,22.88,22.74,0.14,0.6157,55324.14,125625.076
12,300144.SZ,20181114,23.1,23.4,22.63,22.74,23.24,-0.5,-2.1515,99915.5,229113.88600000003
13,300144.SZ,20181113,22.48,23.67,22.3,23.24,22.7,0.54,2.3789,107256.19,248597.057
14,300144.SZ,20181112,21.8,22.85,21.57,22.7,21.8,0.9,4.1284,80287.69,179970.03
15,300144.SZ,20181109,21.7,22.03,21.43,21.8,21.8,0.0,0.0,71273.3,155544.083
16,300144.SZ,20181108,22.6,22.8,21.63,21.8,22.41,-0.61,-2.722,92720.73,204806.148
17,300144.SZ,20181107,22.11,22.7,21.93,22.41,22.25,0.16,0.7191,79415.51,177587.747
18,300144.SZ,20181106,22.16,22.28,21.7,22.25,22.2,0.05,0.2252,59857.7,131777.485
19,300144.SZ,20181105,22.44,22.87,21.68,22.2,22.58,-0.38,-1.6829,125649.5,279269.363
20,300144.SZ,20181102,22.0,22.79,21.6,22.58,21.21,1.37,6.4592,128960.42,287154.997
21,300144.SZ,20181101,21.35,21.75,21.13,21.21,21.17,0.04,0.1889,68199.37,146400.303
22,300144.SZ,20181031,21.1,21.71,20.89,21.17,21.07,0.1,0.4746,69777.47,149002.244
23,300144.SZ,20181030,20.26,21.15,20.05,21.07,20.27,0.8,3.9467,78472.08,162784.422
24,300144.SZ,20181029,20.72,20.92,19.94,20.27,20.89,-0.62,-2.9679,79235.7,160508.09900000002
25,300144.SZ,20181026,21.45,21.53,20.8,20.89,21.25,-0.36,-1.6941,54245.72,114466.681
26,300144.SZ,20181025,20.54,21.75,20.42,21.25,21.4,-0.15,-0.7009,84239.03,177024.38199999995
27,300144.SZ,20181024,21.94,22.3,21.21,21.4,21.98,-0.58,-2.6388,120098.41,259209.1
28,300144.SZ,20181023,22.6,22.7,21.66,21.98,22.68,-0.7,-3.0864,108831.38,241600.471
29,300144.SZ,20181022,21.5,23.2,21.3,22.68,21.1,1.58,7.4882,182495.2,405097.469
30,300144.SZ,20181019,20.5,21.68,20.03,21.1,20.79,0.31,1.4911,110333.19,229966.665
31,300144.SZ,20181018,20.85,21.22,20.06,20.79,20.83,-0.04,-0.192,86194.93,177112.65600000005
32,300144.SZ,20181017,20.61,20.94,20.06,20.83,20.27,0.56,2.7627,65190.86,134357.578
33,300144.SZ,20181016,20.55,20.8,19.93,20.27,20.79,-0.52,-2.5012,59199.06,120402.029
34,300144.SZ,20181015,21.37,21.52,20.52,20.79,21.3,-0.51,-2.3944,70533.69,147916.709
35,300144.SZ,20181012,19.88,21.41,19.86,21.3,19.77,1.53,7.739,123870.77,257376.443
36,300144.SZ,20181011,20.08,20.49,19.6,19.77,20.82,-1.05,-5.0432,83977.01,168441.143
37,300144.SZ,20181010,21.42,21.42,20.45,20.82,21.32,-0.5,-2.3452,70721.04,147581.486
38,300144.SZ,20181009,21.22,21.63,20.81,21.32,21.23,0.09,0.4239,85051.42,180920.948
39,300144.SZ,20181008,21.77,21.84,21.06,21.23,22.25,-1.02,-4.5843,84861.53,181463.469
40,300144.SZ,20180928,21.2,22.25,21.15,22.25,21.19,1.06,5.0024,117667.62,256348.805
41,300144.SZ,20180927,21.97,21.97,21.16,21.19,21.99,-0.8,-3.638,107667.3,230143.857
42,300144.SZ,20180926,21.42,22.27,21.26,21.99,21.43,0.56,2.6132,102725.97,224769.88600000003
43,300144.SZ,20180925,21.59,21.59,21.08,21.43,21.75,-0.32,-1.4713,80643.38,171985.69600000005
44,300144.SZ,20180921,21.65,21.81,21.14,21.75,21.25,0.5,2.3529,91802.63,197484.401
45,300144.SZ,20180920,20.8,21.85,20.8,21.25,20.8,0.45,2.1635,128924.33,276544.074
46,300144.SZ,20180919,20.54,20.94,20.3,20.8,20.19,0.61,3.0213,114944.3,237815.06
47,300144.SZ,20180918,19.35,20.28,19.35,20.19,19.35,0.84,4.3411,132116.54,262227.462
48,300144.SZ,20180917,20.5,20.5,19.3,19.35,20.57,-1.22,-5.931,176677.47,349558.047
49,300144.SZ,20180914,21.42,21.5,20.22,20.57,21.48,-0.91,-4.2365,150240.73,311825.782
50,300144.SZ,20180913,21.2,21.72,20.8,21.48,20.81,0.67,3.2196,94599.4,200644.476
51,300144.SZ,20180912,21.2,21.54,20.64,20.81,21.1,-0.29,-1.3744,100270.05,211383.779
52,300144.SZ,20180911,21.01,21.28,20.55,21.1,21.18,-0.08,-0.3777,122581.36,256491.648
53,300144.SZ,20180910,21.77,21.88,20.9,21.18,21.61,-0.43,-1.9898,90565.02,193373.21
54,300144.SZ,20180907,21.53,22.22,21.26,21.61,21.33,0.28,1.3127,125215.97,272471.605
55,300144.SZ,20180906,21.95,22.28,21.21,21.33,22.15,-0.82,-3.702,110933.88,240590.924
56,300144.SZ,20180905,22.7,22.7,22.15,22.15,22.89,-0.74,-3.2329,75888.75,170108.35100000002
57,300144.SZ,20180904,22.57,23.19,22.45,22.89,22.79,0.1,0.4388,95184.39,216797.143
58,300144.SZ,20180903,22.33,22.97,21.77,22.79,22.47,0.32,1.4241,99865.08,223644.765
59,300144.SZ,20180831,22.8,23.2,22.26,22.47,23.12,-0.65,-2.8114,87232.29,197594.091
60,300144.SZ,20180830,22.48,23.46,22.45,23.12,22.6,0.52,2.3009,198780.27,459328.051
61,300144.SZ,20180829,24.42,24.42,22.0,22.6,24.41,-1.81,-7.415,386492.63,876490.7420000002
62,300144.SZ,20180828,25.1,25.1,24.24,24.41,25.16,-0.75,-2.9809,108243.24,266762.05
63,300144.SZ,20180827,23.6,25.29,23.6,25.16,23.55,1.61,6.8365,115768.22,286433.865
64,300144.SZ,20180824,23.58,23.96,23.34,23.55,23.5,0.05,0.2128,62157.91,147363.73
65,300144.SZ,20180823,23.39,23.94,23.22,23.5,23.37,0.13,0.5563,102747.88,242550.937
66,300144.SZ,20180822,24.65,24.9,23.21,23.37,24.64,-1.27,-5.1542,132885.22,316331.05600000004
67,300144.SZ,20180821,23.83,24.94,23.81,24.64,24.02,0.62,2.5812,99233.2,243552.619
68,300144.SZ,20180820,24.74,25.09,23.3,24.02,24.76,-0.74,-2.9887,147990.8,354349.004
69,300144.SZ,20180817,25.0,25.17,24.21,24.76,24.59,0.17,0.6913,65135.38,161167.517
70,300144.SZ,20180816,24.57,25.23,24.45,24.59,24.93,-0.34,-1.3638,65371.13,162313.798
71,300144.SZ,20180815,25.54,25.58,24.55,24.93,25.38,-0.45,-1.773,91497.43,228222.76100000003
72,300144.SZ,20180814,25.91,26.0,25.33,25.38,26.1,-0.72,-2.7586,79647.3,203803.683
