,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,399673.SZ,20181224,1037.2357,1022.3954,1038.2499,1019.4635,1024.1707,13.065,1.2757,5866664.0,8388462.1
1,399673.SZ,20181221,1024.1707,1026.4369,1031.3095,1013.9527,1029.8253,-5.6546,-0.5491,6644320.0,9446873.3
2,399673.SZ,20181220,1029.8253,1025.2087,1035.4264,1020.4453,1026.2751,3.5502,0.3459,5898406.0,8722349.5
3,399673.SZ,20181219,1026.2751,1049.8624,1051.036,1022.5842,1047.6425,-21.3674,-2.0396,6031673.0,9370865.9
4,399673.SZ,20181218,1047.6425,1049.4651,1060.5724,1039.013,1055.2981,-7.6556,-0.7254,6480973.0,9093273.6
5,399673.SZ,20181217,1055.2981,1058.7126,1062.3471,1044.0844,1064.2804,-8.9823,-0.844,6305880.0,9049180.4
6,399673.SZ,20181214,1064.2804,1096.2588,1096.2588,1063.0162,1098.2866,-34.0062,-3.0963,7605245.0,11211692.9
7,399673.SZ,20181213,1098.2866,1089.1766,1103.894,1079.982,1084.8678,13.4188,1.2369,7518397.0,11002844.2
8,399673.SZ,20181212,1084.8678,1088.8466,1090.9318,1081.4666,1082.9846,1.8832,0.1739,5966078.0,9042599.9
9,399673.SZ,20181211,1082.9846,1075.53,1084.7703,1075.2003,1071.1902,11.7944,1.1011,5626446.0,8304676.2
10,399673.SZ,20181210,1071.1902,1071.9055,1083.0523,1068.2843,1084.4246,-13.2344,-1.2204,7277210.0,10761070.6
11,399673.SZ,20181207,1084.4246,1084.4441,1091.409,1080.8901,1085.2399,-0.8153,-0.0751,6713408.0,9621883.4
12,399673.SZ,20181206,1085.2399,1109.5798,1113.5045,1084.2786,1119.594,-34.3541,-3.0684,8480839.0,12712694.2
13,399673.SZ,20181205,1119.594,1108.0573,1129.2494,1104.7854,1126.2439,-6.6499,-0.5904,8096173.0,12156358.6
14,399673.SZ,20181204,1126.2439,1116.5168,1126.6952,1114.5169,1119.7648,6.4791,0.5786,7573606.0,11019749.4
15,399673.SZ,20181203,1119.7648,1118.0778,1127.5403,1105.8366,1080.5578,39.207,3.6284,11461438.0,16645593.0
16,399673.SZ,20181130,1080.5578,1062.9521,1084.3561,1057.6907,1063.4183,17.1395,1.6117,7246670.0,10260834.2
17,399673.SZ,20181129,1063.4183,1098.0886,1102.4545,1063.4183,1090.6903,-27.272,-2.5004,8700682.0,12322018.2
18,399673.SZ,20181128,1090.6903,1066.1567,1091.3472,1057.1886,1067.1157,23.5746,2.2092,9824679.0,13002167.8
19,399673.SZ,20181127,1067.1157,1067.8507,1074.3088,1059.8749,1059.4909,7.6248,0.7197,6950627.0,9962227.2
20,399673.SZ,20181126,1059.4909,1062.206,1069.7236,1052.2914,1062.1682,-2.6773,-0.2521,5990468.0,8533608.3
21,399673.SZ,20181123,1062.1682,1107.0207,1108.3396,1061.3838,1107.8729,-45.7047,-4.1254,9455448.0,12718316.8
22,399673.SZ,20181122,1107.8729,1118.1864,1123.8339,1104.0309,1115.6814,-7.8085,-0.6999,7081724.0,9769077.6
23,399673.SZ,20181121,1115.6814,1101.0352,1120.0444,1098.904,1112.3383,3.3431,0.3005,8652653.0,12612895.7
24,399673.SZ,20181120,1112.3383,1139.6966,1140.4293,1109.4402,1148.9245,-36.5862,-3.1844,10010412.0,13921555.1
25,399673.SZ,20181119,1148.9245,1148.8644,1152.8075,1134.7492,1152.2235,-3.299,-0.2863,9547202.0,13216824.9
26,399673.SZ,20181116,1152.2235,1156.9064,1164.1413,1141.4637,1155.2922,-3.0687,-0.2656,12144811.0,17969866.3
27,399673.SZ,20181115,1155.2922,1131.4957,1155.761,1130.893,1135.2421,20.0501,1.7662,11572490.0,15680814.4
28,399673.SZ,20181114,1135.2421,1138.2007,1150.1343,1132.3329,1141.9305,-6.6884,-0.5857,11677429.0,14663368.1
29,399673.SZ,20181113,1141.9305,1113.724,1151.5732,1111.6118,1125.1951,16.7354,1.4873,15303741.0,19775220.9
30,399673.SZ,20181112,1125.1951,1083.9856,1126.2966,1082.1975,1083.8759,41.3192,3.8122,11258693.0,15822305.6
31,399673.SZ,20181109,1083.8759,1076.9517,1094.4043,1074.1076,1083.2837,0.5922,0.0547,6867347.0,9821233.6
32,399673.SZ,20181108,1083.2837,1113.5583,1115.21,1083.1143,1101.4405,-18.1568,-1.6485,7940247.0,12254268.7
33,399673.SZ,20181107,1101.4405,1105.5872,1121.0417,1101.3888,1103.8442,-2.4037,-0.2178,9755388.0,14784236.7
34,399673.SZ,20181106,1103.8442,1104.4035,1106.1544,1086.8067,1106.8751,-3.0309,-0.2738,9150682.0,12837470.9
35,399673.SZ,20181105,1106.8751,1104.2335,1128.5647,1085.9974,1105.3173,1.5578,0.1409,12872398.0,17762490.0
36,399673.SZ,20181102,1105.3173,1085.866,1105.7053,1079.8803,1048.3478,56.9695,5.4342,14617401.0,19833167.9
37,399673.SZ,20181101,1048.3478,1053.6063,1073.0609,1048.3478,1035.5848,12.763,1.2324,12302886.0,16157423.4
38,399673.SZ,20181031,1035.5848,1027.7354,1047.7774,1024.326,1026.629,8.9558,0.8724,8163637.0,11193229.3
39,399673.SZ,20181030,1026.629,1009.9867,1042.443,995.4219,1010.7074,15.9216,1.5753,9962917.0,13693742.2
40,399673.SZ,20181029,1010.7074,1024.1369,1032.4842,1005.4253,1023.3623,-12.6549,-1.2366,7832125.0,10698118.2
41,399673.SZ,20181026,1023.3623,1048.3146,1052.2256,1018.4052,1039.0675,-15.7052,-1.5115,7717017.0,11366833.7
42,399673.SZ,20181025,1039.0675,1011.8798,1044.3984,1006.9386,1046.3674,-7.2999,-0.6976,9144629.0,13407354.4
43,399673.SZ,20181024,1046.3674,1051.2471,1066.8072,1041.8084,1057.349,-10.9816,-1.0386,9462572.0,14006240.9
44,399673.SZ,20181023,1057.349,1081.3119,1085.7817,1047.705,1082.7543,-25.4053,-2.3464,10721330.0,15375098.9
45,399673.SZ,20181022,1082.7543,1037.683,1093.458,1037.683,1020.7841,61.9702,6.0708,14175766.0,20576598.7
46,399673.SZ,20181019,1020.7841,960.2307,1023.4296,959.4963,976.4825,44.3016,4.5369,9804573.0,13810388.6
47,399673.SZ,20181018,976.4825,985.8498,999.461,976.2852,996.4835,-20.001,-2.0072,7676211.0,10699723.3
48,399673.SZ,20181017,996.4835,999.048,1003.1728,971.1295,986.7129,9.7706,0.9902,9108907.0,12658777.1
49,399673.SZ,20181016,986.7129,1011.0566,1020.1431,979.9805,1011.9234,-25.2105,-2.4913,6573858.0,9004655.5
50,399673.SZ,20181015,1011.9234,1030.0697,1039.2325,1009.6528,1028.544,-16.6206,-1.6159,6700131.0,9673850.0
51,399673.SZ,20181012,1028.544,1017.9515,1038.2734,994.6515,1024.0796,4.4644,0.4359,9124286.0,11350703.5
52,399673.SZ,20181011,1024.0796,1059.307,1068.5833,1017.3033,1100.5008,-76.4212,-6.9442,9444779.0,12533381.8
53,399673.SZ,20181010,1100.5008,1109.03,1111.7998,1088.5234,1102.5358,-2.035,-0.1846,5491115.0,8145016.5
54,399673.SZ,20181009,1102.5358,1115.8219,1122.3455,1096.7221,1113.3617,-10.8259,-0.9724,5733854.0,9350466.8
55,399673.SZ,20181008,1113.3617,1140.94,1145.9336,1113.0844,1169.6482,-56.2865,-4.8123,6856364.0,10665069.3
56,399673.SZ,20180928,1169.6482,1158.071,1170.7904,1151.9509,1153.4463,16.2019,1.4047,7399303.0,9471866.7
57,399673.SZ,20180927,1153.4463,1176.3507,1177.5638,1152.8512,1178.2885,-24.8422,-2.1083,7496233.0,9427865.8
58,399673.SZ,20180926,1178.2885,1173.8438,1186.8358,1165.2784,1169.5998,8.6887,0.7429,7729576.0,9662986.9
59,399673.SZ,20180925,1169.5998,1172.6802,1180.6994,1167.1335,1182.3067,-12.7069,-1.0748,5206615.0,6707425.0
60,399673.SZ,20180921,1182.3067,1165.9047,1185.1127,1156.0666,1161.0076,21.2991,1.8345,7674016.0,9980934.9
61,399673.SZ,20180920,1161.0076,1163.5786,1171.8348,1157.8372,1164.59,-3.5824,-0.3076,5856383.0,7534369.9
