,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600036.SH,20181212,29.0,29.0,28.41,28.46,28.51,-0.05,-0.1754,202093.93,577042.564
1,600036.SH,20181211,28.35,28.55,28.28,28.51,28.34,0.17,0.5999,227290.13,645883.574
2,600036.SH,20181210,28.3,28.5,28.22,28.34,28.58,-0.24,-0.8397,266986.42,756722.667
3,600036.SH,20181207,29.09,29.19,28.53,28.58,28.9,-0.32,-1.1073,305228.73,878968.664
4,600036.SH,20181206,28.9,29.15,28.78,28.9,29.37,-0.47,-1.6003,373380.23,1079103.636
5,600036.SH,20181205,29.16,29.57,29.0,29.37,29.57,-0.2,-0.6764,262307.36,771310.493
6,600036.SH,20181204,29.42,29.63,29.31,29.57,29.46,0.11,0.3734,323685.58,954515.438
7,600036.SH,20181203,29.49,29.63,28.93,29.46,28.55,0.91,3.1874,690255.56,2026234.683
8,600036.SH,20181130,28.26,28.58,28.21,28.55,28.3,0.25,0.8834,254380.81,724904.871
9,600036.SH,20181129,28.5,28.6,28.3,28.3,28.28,0.02,0.0707,397949.93,1132138.876
10,600036.SH,20181128,28.07,28.35,28.05,28.28,27.99,0.29,1.0361,290873.89,821440.564
11,600036.SH,20181127,28.22,28.38,27.85,27.99,28.27,-0.28,-0.9904,337658.56,949634.239
12,600036.SH,20181126,28.0,28.35,27.91,28.27,27.88,0.39,1.3989,275469.54,775964.832
13,600036.SH,20181123,28.29,28.35,27.88,27.88,28.3,-0.42,-1.4841,325389.36,912620.571
14,600036.SH,20181122,28.41,28.45,28.1,28.3,28.4,-0.1,-0.3521,275858.49,778816.956
15,600036.SH,20181121,28.2,28.43,28.1,28.4,28.42,-0.02,-0.0704,323377.87,914660.533
16,600036.SH,20181120,28.79,28.84,28.31,28.42,28.95,-0.53,-1.8307,338277.88,963552.925
17,600036.SH,20181119,28.7,29.04,28.45,28.95,28.48,0.47,1.6503,502881.77,1450517.213
18,600036.SH,20181116,28.38,28.68,28.19,28.48,28.38,0.1,0.3524,496955.28,1413615.056
19,600036.SH,20181115,28.24,28.47,28.08,28.38,28.16,0.22,0.7813,354124.35,1002719.255
20,600036.SH,20181114,28.58,28.65,28.0,28.16,28.58,-0.42,-1.4696,535874.79,1513190.239
21,600036.SH,20181113,28.1,28.77,28.05,28.58,28.56,0.02,0.07,500356.45,1424073.098
22,600036.SH,20181112,28.4,28.7,28.23,28.56,28.6,-0.04,-0.1399,683977.44,1942560.148
23,600036.SH,20181109,29.6,29.6,28.49,28.6,30.01,-1.41,-4.6984,1193021.21,3429467.883
24,600036.SH,20181108,30.02,30.37,29.8,30.01,29.57,0.44,1.488,479149.76,1440021.978
25,600036.SH,20181107,29.88,30.2,29.53,29.57,29.87,-0.3,-1.0044,549867.67,1639026.34
26,600036.SH,20181106,30.0,30.11,29.36,29.87,30.0,-0.13,-0.4333,375065.53,1116052.434
27,600036.SH,20181105,29.85,30.23,29.71,30.0,30.33,-0.33,-1.088,428334.88,1283209.565
28,600036.SH,20181102,29.9,30.45,29.41,30.33,29.05,1.28,4.4062,1220051.02,3665161.77
29,600036.SH,20181101,29.45,29.65,28.66,29.05,28.91,0.14,0.4843,682600.26,1983324.17
30,600036.SH,20181031,28.8,28.98,28.39,28.91,28.35,0.56,1.9753,666013.08,1914657.674
31,600036.SH,20181030,28.12,28.86,27.58,28.35,27.85,0.5,1.7953,743575.88,2108423.543
