,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600297.SH,20181228,4.01,4.08,3.99,4.06,4.04,0.02,0.495,89291.49,36102.368
1,600297.SH,20181227,4.08,4.11,4.0,4.04,4.02,0.02,0.4975,91903.13,37191.461
2,600297.SH,20181226,4.02,4.07,4.0,4.02,4.05,-0.03,-0.7407,75578.01,30494.028
3,600297.SH,20181225,4.06,4.07,3.91,4.05,4.09,-0.04,-0.978,117239.92,46709.857
4,600297.SH,20181224,4.05,4.09,4.03,4.09,4.07,0.02,0.4914,58581.32,23834.056
5,600297.SH,20181221,4.08,4.08,4.0,4.07,4.09,-0.02,-0.489,96524.01,39029.371
6,600297.SH,20181220,4.12,4.15,4.06,4.09,4.13,-0.04,-0.9685,103019.82,42235.439
7,600297.SH,20181219,4.17,4.19,4.12,4.13,4.16,-0.03,-0.7212,68622.86,28514.343
8,600297.SH,20181218,4.16,4.21,4.1,4.16,4.18,-0.02,-0.4785,108859.68,45222.013
9,600297.SH,20181217,4.26,4.26,4.12,4.18,4.25,-0.07,-1.6471,116391.43,48543.409
10,600297.SH,20181214,4.3,4.36,4.2,4.25,4.28,-0.03,-0.7009,152005.96,65243.739
11,600297.SH,20181213,4.29,4.35,4.26,4.28,4.26,0.02,0.4695,136085.83,58632.827
12,600297.SH,20181212,4.3,4.33,4.25,4.26,4.26,0.0,0.0,103218.9,44268.931
13,600297.SH,20181211,4.32,4.33,4.25,4.26,4.27,-0.01,-0.2342,99203.44,42479.421
14,600297.SH,20181210,4.32,4.35,4.26,4.27,4.36,-0.09,-2.0642,97570.32,41954.548
15,600297.SH,20181207,4.34,4.39,4.32,4.36,4.34,0.02,0.4608,87024.4,37897.162
16,600297.SH,20181206,4.43,4.43,4.33,4.34,4.44,-0.1,-2.2523,131251.27,57320.414
17,600297.SH,20181205,4.38,4.47,4.35,4.44,4.47,-0.03,-0.6711,163810.93,72449.343
18,600297.SH,20181204,4.5,4.54,4.44,4.47,4.55,-0.08,-1.7582,246817.45,110355.464
19,600297.SH,20181203,4.39,4.68,4.32,4.55,4.25,0.3,7.0588,389835.2,175400.5
20,600297.SH,20181130,4.16,4.25,4.11,4.25,4.18,0.07,1.6746,115186.0,48150.962
21,600297.SH,20181129,4.26,4.32,4.17,4.18,4.25,-0.07,-1.6471,146852.48,62449.956
22,600297.SH,20181128,4.22,4.26,4.07,4.25,4.22,0.03,0.7109,162559.6,67842.304
23,600297.SH,20181127,4.23,4.28,4.19,4.22,4.2,0.02,0.4762,100509.57,42523.216
24,600297.SH,20181126,4.23,4.27,4.18,4.2,4.23,-0.03,-0.7092,110247.7,46516.722
25,600297.SH,20181123,4.42,4.46,4.19,4.23,4.41,-0.18,-4.0816,206947.31,89167.556
26,600297.SH,20181122,4.45,4.48,4.37,4.41,4.44,-0.03,-0.6757,173415.93,76732.94
27,600297.SH,20181121,4.31,4.48,4.27,4.44,4.41,0.03,0.6803,197335.97,86384.792
28,600297.SH,20181120,4.59,4.6,4.39,4.41,4.63,-0.22,-4.7516,290680.5,129957.517
29,600297.SH,20181119,4.66,4.68,4.56,4.63,4.67,-0.04,-0.8565,162688.54,75152.576
30,600297.SH,20181116,4.61,4.68,4.55,4.67,4.61,0.06,1.3015,218333.66,100889.846
31,600297.SH,20181115,4.58,4.64,4.52,4.61,4.58,0.03,0.655,186125.88,85465.565
32,600297.SH,20181114,4.6,4.72,4.54,4.58,4.62,-0.04,-0.8658,205614.23,94925.62
33,600297.SH,20181113,4.5,4.66,4.5,4.62,4.58,0.04,0.8734,273168.13,125308.016
34,600297.SH,20181112,4.34,4.62,4.29,4.58,4.36,0.22,5.0459,319850.89,143877.076
35,600297.SH,20181109,4.38,4.4,4.33,4.36,4.38,-0.02,-0.4566,183978.88,80458.067
36,600297.SH,20181108,4.4,4.43,4.35,4.38,4.36,0.02,0.4587,214552.2,94252.502
37,600297.SH,20181107,4.4,4.46,4.34,4.36,4.35,0.01,0.2299,269071.69,118195.434
38,600297.SH,20181106,4.41,4.41,4.31,4.35,4.43,-0.08,-1.8059,235539.62,102419.296
39,600297.SH,20181105,4.32,4.48,4.26,4.43,4.36,0.07,1.6055,413746.25,180504.373
40,600297.SH,20181102,4.15,4.43,4.12,4.36,4.1,0.26,6.3415,559631.26,238032.204
41,600297.SH,20181101,4.14,4.2,4.1,4.1,4.13,-0.03,-0.7264,411156.39,171037.856
42,600297.SH,20181031,4.08,4.16,4.05,4.13,4.06,0.07,1.7241,456958.08,187201.993
43,600297.SH,20181030,4.03,4.12,4.02,4.06,4.01,0.05,1.2469,473333.04,192521.468
44,600297.SH,20181029,4.02,4.05,3.97,4.01,4.0,0.01,0.25,267772.8,107209.6
45,600297.SH,20181026,4.08,4.1,3.95,4.0,4.03,-0.03,-0.7444,438348.09,176089.713
46,600297.SH,20181025,4.08,4.14,3.94,4.03,4.26,-0.23,-5.3991,596490.21,239660.583
47,600297.SH,20181024,4.4,4.4,4.05,4.26,4.44,-0.18,-4.0541,562108.58,236141.361
48,600297.SH,20181023,4.63,4.63,4.4,4.44,4.65,-0.21,-4.5161,344740.63,153896.385
49,600297.SH,20181022,4.59,4.86,4.59,4.65,4.61,0.04,0.8677,422453.87,198226.69
50,600297.SH,20181019,4.53,4.64,4.4,4.61,4.67,-0.06,-1.2848,195125.76,88576.492
51,600297.SH,20181018,5.27,5.27,4.67,4.67,5.19,-0.52,-10.0193,237305.56,114317.78
52,600297.SH,20181017,5.5,5.5,5.11,5.19,5.43,-0.24,-4.4199,96572.99,50876.711
53,600297.SH,20181016,5.46,5.62,5.37,5.43,5.46,-0.03,-0.5495,74330.75,40765.592
54,600297.SH,20181015,5.9,5.9,5.44,5.46,5.86,-0.4,-6.8259,113493.48,64059.415
55,600297.SH,20181012,5.9,5.99,5.8,5.86,5.98,-0.12,-2.0067,81578.87,47936.795
56,600297.SH,20181011,5.97,6.08,5.75,5.98,6.19,-0.21,-3.3926,154265.39,91804.838
57,600297.SH,20181010,6.14,6.26,5.92,6.19,6.14,0.05,0.8143,140698.29,85390.821
58,600297.SH,20181009,6.01,6.15,5.93,6.14,6.1,0.04,0.6557,106848.18,64627.84
59,600297.SH,20181008,6.14,6.19,5.9,6.1,6.46,-0.36,-5.5728,185230.42,112665.163
60,600297.SH,20180928,6.3,6.46,6.25,6.46,6.46,0.0,0.0,225637.78,143406.375
61,600297.SH,20180927,6.52,6.53,6.2,6.46,6.53,-0.07,-1.072,313787.93,198078.921
62,600297.SH,20180926,6.57,6.75,6.41,6.53,6.48,0.05,0.7716,507817.15,333369.954
63,600297.SH,20180925,6.48,6.48,6.38,6.48,5.89,0.59,10.017,456022.87,295285.771
64,600297.SH,20180921,5.68,5.93,5.55,5.89,5.59,0.3,5.3667,171009.12,98136.759
65,600297.SH,20180920,5.65,5.72,5.53,5.59,5.66,-0.07,-1.2367,149530.54,84012.253
66,600297.SH,20180919,5.77,5.77,5.66,5.66,5.78,-0.12,-2.0761,93040.85,53203.889
67,600297.SH,20180918,5.83,5.86,5.72,5.78,5.86,-0.08,-1.3652,68570.6,39702.073
68,600297.SH,20180917,5.81,5.91,5.64,5.86,5.91,-0.05,-0.846,49617.38,28836.526
69,600297.SH,20180914,5.98,5.98,5.87,5.91,5.99,-0.08,-1.3356,77426.57,45757.044
70,600297.SH,20180913,6.02,6.07,5.93,5.99,6.01,-0.02,-0.3328,129172.32,77137.087
71,600297.SH,20180912,5.99,6.01,5.91,6.01,6.01,0.0,0.0,164007.88,98150.268
