,0,1,2
0,sh,603156,养元饮品
1,sh,601138,工业富联
2,sz,002001,新和成
3,sz,000661,长春高新
4,sh,600998,九州通
5,sz,002179,中航光电
6,sh,600004,白云机场
7,sz,300296,利亚德
8,sh,603986,兆易创新
9,sz,002120,韵达股份
10,sz,002311,海大集团
11,sz,002422,科伦药业
12,sz,002773,康弘药业
13,sh,603259,药明康德
14,sh,600027,华电国际
15,sz,000408,藏格控股
16,sz,002271,东方雨虹
17,sh,600566,济川药业
18,sz,000703,恒逸石化
19,sz,002032,苏泊尔
20,sz,300142,沃森生物
21,sh,601066,中信建投
22,sh,600760,中航沈飞
23,sz,300408,三环集团
24,sz,000786,北新建材
25,sh,601808,中海油服
26,sh,600176,中国巨石
27,sh,600438,通威股份
28,sz,002493,荣盛石化
29,sz,001965,招商公路
30,sz,002625,光启技术
31,sz,300433,蓝思科技
32,sz,002925,盈趣科技
33,sz,002050,三花智控
34,sz,002085,万丰奥威
35,sh,600867,通化东宝
36,sh,600809,山西汾酒
37,sh,601838,成都银行
38,sh,600339,中油工程
39,sh,601108,财通证券
40,sh,601360,三六零
41,sh,600516,方大炭素
42,sh,601238,广汽集团
43,sh,600398,海澜之家
44,sh,603288,海天味业
45,sh,601828,美凯龙
46,sh,600025,华能水电
47,sh,600346,恒力股份
48,sh,600487,亨通光电
49,sh,603260,合盛硅业
50,sh,603833,欧派家居
51,sh,600011,华能国际
52,sh,603799,华友钴业
53,sz,002624,完美世界
54,sz,002572,索菲亚
55,sz,300003,乐普医疗
56,sz,002468,申通快递
57,sz,002601,龙蟒佰利
58,sh,601012,隆基股份
59,sh,600390,五矿资本
60,sz,002294,信立泰
61,sz,300136,信维通信
62,sz,300015,爱尔眼科
63,sz,000898,鞍钢股份
64,sh,601212,白银有色
65,sh,600219,南山铝业
66,sh,601898,中煤能源
67,sh,601991,大唐发电
68,sz,300122,智飞生物
69,sh,601878,浙商证券
70,sz,002460,赣锋锂业
71,sh,601228,广州港
72,sz,002555,三七互娱
73,sz,002558,世纪游轮
74,sz,002602,世纪华通
75,sh,600233,圆通速递
76,sz,002508,老板电器
77,sz,002411,必康股份
78,sz,002352,顺丰控股
79,sz,002044,美年健康
80,sz,000959,首钢股份
81,sz,000961,中南建设
82,sh,600436,片仔癀
83,sh,600522,中天科技
84,sh,600909,华安证券
85,sh,603160,汇顶科技
86,sh,603858,步长制药
87,sh,601997,贵阳银行
88,sh,601992,金隅股份
89,sh,601881,中国银河
90,sh,601229,上海银行
91,sh,601117,中国化学
92,sh,600977,中国电影
93,sh,600926,杭州银行
94,sh,600919,江苏银行
95,sh,600549,厦门钨业
96,sh,601155,新城控股
97,sz,300033,同花顺
98,sz,002466,天齐锂业
99,sz,000627,天茂集团
100,sz,002714,牧原股份
101,sz,300072,三聚环保
102,sh,600482,中国动力
103,sz,000983,西山煤电
104,sz,000671,阳光城
105,sz,000938,紫光股份
106,sh,601611,中国核建
107,sz,002797,第一创业
108,sz,002310,东方园林
109,sh,601877,正泰电器
