,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600741.SH,20181228,18.68,18.72,18.36,18.4,18.49,-0.09,-0.4867,86881.74,160436.795
1,600741.SH,20181227,18.23,18.59,18.16,18.49,18.04,0.45,2.4945,113894.19,209820.145
2,600741.SH,20181226,17.78,18.12,17.64,18.04,17.79,0.25,1.4053,63167.11,113269.761
3,600741.SH,20181225,18.18,18.18,17.38,17.79,18.28,-0.49,-2.6805,79630.38,141274.335
4,600741.SH,20181224,18.14,18.3,17.95,18.28,18.13,0.15,0.8274,44413.85,80861.624
5,600741.SH,20181221,17.75,18.35,17.74,18.13,17.91,0.22,1.2284,108321.98,196691.498
6,600741.SH,20181220,18.29,18.43,17.68,17.91,18.23,-0.32,-1.7553,97202.52,174375.382
7,600741.SH,20181219,18.0,18.42,18.0,18.23,18.02,0.21,1.1654,112747.98,205925.886
8,600741.SH,20181218,18.0,18.23,17.91,18.02,18.1,-0.08,-0.442,46510.17,83888.35
9,600741.SH,20181217,17.91,18.35,17.85,18.1,17.97,0.13,0.7234,59720.89,107963.779
10,600741.SH,20181214,18.14,18.18,17.96,17.97,18.2,-0.23,-1.2637,65604.75,118474.513
11,600741.SH,20181213,17.81,18.25,17.81,18.2,17.86,0.34,1.9037,81327.76,147047.668
12,600741.SH,20181212,17.74,17.91,17.63,17.86,17.68,0.18,1.0181,56733.64,101103.337
13,600741.SH,20181211,17.71,17.88,17.55,17.68,17.75,-0.07,-0.3944,66028.82,116462.352
14,600741.SH,20181210,17.77,17.8,17.61,17.75,17.82,-0.07,-0.3928,50775.6,89819.372
15,600741.SH,20181207,17.74,17.91,17.74,17.82,17.7,0.12,0.678,57919.85,103163.36
16,600741.SH,20181206,17.97,18.28,17.66,17.7,18.03,-0.33,-1.8303,75111.01,134364.688
17,600741.SH,20181205,17.94,18.27,17.81,18.03,18.19,-0.16,-0.8796,75733.7,137096.302
