,order_time,code,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20130104,300296.sz,16.56,6400,105983.99999999999,108.10368,106092.10367999999,6400,105983.99999999999,969744.0456405652,0.0,1075728.0456405652,0.0,0.00010048340545931733
1,20130104,002422.sz,57.13,1800,102834.0,104.89068,102938.89068,1800,102834.0,866805.1549605653,0.0,1075623.1549605653,0.0,0.00019798029665984984
2,20130104,000661.sz,61.18,1700,104006.0,106.08612,104112.08612,1700,104006.0,762693.0688405653,0.0,1075517.0688405652,0.0,0.00029658836078483297
3,20130613,300296.sz,11.2,-6400,-71680.0,144.79360000000003,-71535.2064,0,0.0,838089.520145544,0.0,1044929.520145544,0.0,0.031915402747401234
4,20130614,002179.sz,14.45,7200,104040.0,106.1208,104146.1208,7200,104040.0,733985.3038215513,0.0,1044865.3038215513,0.0,0.031974896553395804
5,20130702,002422.sz,56.2,-1800,-101160.0,204.3432,-100955.6568,0,0.0,835381.472931607,0.0,1043427.472931607,0.0,0.03330698825065703
6,20130703,600998.sh,11.98,8700,104226.0,106.31052,104332.31052,8700,104226.0,731090.9314852536,0.0,1043362.9314852536,0.0,0.03336678326926312
7,20140403,000661.sz,91.3,-1700,-155210.0,313.5242,-154896.4758,0,0.0,892707.41847724,0.0,1100973.41847724,0.0,0.0
8,20140404,300296.sz,30.78,3500,107730.0,109.8846,107839.8846,3500,107730.0,784912.1692481639,0.0,1100908.169248164,0.0,9.980272313969696e-05
9,20140522,600998.sh,12.67,-8700,-110229.0,222.66258,-110006.33742,0,0.0,896136.033432075,0.0,1107906.033432075,0.0,0.0
10,20140523,002120.sz,10.22,10800,110376.0,112.58352000000001,110488.58352,10800,110376.0,785692.2567137468,0.0,1107838.2567137468,0.0,0.00010161418351051221
11,20140526,002179.sz,15.2,-7200,-109440.0,221.06879999999998,-109218.9312,0,0.0,894950.4725265825,0.0,1113056.4725265824,0.0,0.0
12,20140527,600027.sh,3.24,34300,111132.00000000001,113.35464000000002,111245.35464000002,34300,111132.00000000001,783749.8654102089,0.0,1112987.865410209,0.0,0.0001018367763490069
13,20150105,002120.sz,12.25,-10800,-132300.0,267.24600000000004,-132032.754,0,0.0,921682.6935222134,0.0,1140544.6935222135,0.0,0.0
14,20150106,000408.sz,10.43,10900,113687.0,115.96074,113802.96074,10900,113687.0,807925.8169168896,0.0,1140474.8169168895,0.0,0.0001016672607492275
