,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,601857.SH,20180928,9.11,9.17,9.01,9.17,9.11,0.06,0.6586,429773.14,390526.003
1,601857.SH,20180927,9.03,9.17,8.99,9.11,9.05,0.06,0.6629999999999999,471528.2,429052.656
2,601857.SH,20180926,8.86,9.09,8.83,9.05,8.89,0.16,1.7998,565948.65,510305.511
3,601857.SH,20180925,8.86,9.1,8.86,8.89,8.81,0.08,0.9081,539802.5,483253.071
4,601857.SH,20180921,8.87,8.91,8.64,8.81,8.87,-0.06,-0.6764,615641.16,538140.377
5,601857.SH,20180920,8.93,8.96,8.86,8.96,8.93,0.03,0.3359,316344.48,281918.244
6,601857.SH,20180919,8.63,8.98,8.6,8.93,8.61,0.32,3.7166,698397.61,618380.861
7,601857.SH,20180918,8.61,8.68,8.44,8.61,8.67,-0.06,-0.6920000000000001,331457.79,283015.376
8,601857.SH,20180917,8.65,8.7,8.58,8.67,8.66,0.01,0.1155,329062.71,284176.675
9,601857.SH,20180914,8.49,8.71,8.4,8.66,8.53,0.13,1.524,662725.44,569079.596
10,601857.SH,20180913,8.3,8.54,8.29,8.53,8.27,0.26,3.1439,625090.07,527276.103
11,601857.SH,20180912,8.31,8.35,8.18,8.27,8.24,0.03,0.3641,311249.68,257060.79
12,601857.SH,20180911,8.2,8.31,8.19,8.24,8.18,0.06,0.7335,278770.06,229987.364
13,601857.SH,20180910,8.17,8.26,8.15,8.18,8.2,-0.02,-0.2439,181175.99,148694.857
14,601857.SH,20180907,8.24,8.35,8.15,8.2,8.25,-0.05,-0.6061,232722.83,191511.409
15,601857.SH,20180906,8.18,8.33,8.15,8.25,8.2,0.05,0.6098,336903.93,278249.514
16,601857.SH,20180905,8.22,8.27,8.14,8.2,8.24,-0.04,-0.4854,314440.22,258036.085
17,601857.SH,20180904,8.06,8.28,8.04,8.24,8.07,0.17,2.1066,350292.45,286894.077
18,601857.SH,20180903,8.0,8.08,7.97,8.07,8.04,0.03,0.3731,195136.77,156523.489
19,601857.SH,20180831,8.16,8.16,7.97,8.04,8.15,-0.11,-1.3497,347978.45,279922.338
20,601857.SH,20180830,8.22,8.29,8.1,8.15,8.17,-0.02,-0.2448,257111.62,210517.385
21,601857.SH,20180829,8.17,8.2,8.1,8.17,8.17,0.0,0.0,175592.09,143277.987
22,601857.SH,20180828,8.26,8.3,8.13,8.17,8.26,-0.09,-1.0896,272123.23,223047.259
23,601857.SH,20180827,8.13,8.28,8.12,8.26,8.13,0.13,1.599,295984.2,243867.169
24,601857.SH,20180824,8.06,8.18,7.99,8.13,8.06,0.07,0.8685,231838.24,188024.506
25,601857.SH,20180823,8.03,8.09,7.98,8.06,8.0,0.06,0.75,212563.09,170914.943
26,601857.SH,20180822,8.17,8.18,7.97,8.0,8.17,-0.17,-2.0808,361151.5,290103.284
27,601857.SH,20180821,8.18,8.27,8.09,8.17,8.18,-0.01,-0.1222,303690.34,248139.785
28,601857.SH,20180820,8.02,8.2,8.0,8.18,7.99,0.19,2.378,385553.16,313830.106
29,601857.SH,20180817,7.94,8.1,7.94,7.99,7.94,0.05,0.6297,335042.13,269039.987
30,601857.SH,20180816,7.96,8.1,7.88,7.94,8.08,-0.14,-1.7327,284317.25,226442.687
31,601857.SH,20180815,8.08,8.16,8.01,8.08,8.11,-0.03,-0.3699,327076.69,264932.887
32,601857.SH,20180814,7.96,8.15,7.93,8.11,7.99,0.12,1.5019,329496.26,266032.706
33,601857.SH,20180813,8.01,8.12,7.88,7.99,8.03,-0.04,-0.4981,327277.35,261623.505
34,601857.SH,20180810,8.01,8.14,7.94,8.03,8.06,-0.03,-0.3722,292855.12,235400.587
35,601857.SH,20180809,7.95,8.09,7.86,8.06,8.06,0.0,0.0,437939.64,350148.85799999995
36,601857.SH,20180808,7.9,8.23,7.87,8.06,7.94,0.12,1.5113,920427.52,743298.085
37,601857.SH,20180807,7.64,7.98,7.63,7.94,7.6,0.34,4.4737,684069.61,536364.378
38,601857.SH,20180806,7.55,7.68,7.53,7.6,7.61,-0.01,-0.1314,375511.24,286198.794
39,601857.SH,20180803,7.56,7.72,7.55,7.61,7.55,0.06,0.7947,421803.22,322181.5
40,601857.SH,20180802,7.58,7.6,7.43,7.55,7.58,-0.03,-0.3958,295040.81,221908.101
41,601857.SH,20180801,7.67,7.73,7.57,7.58,7.73,-0.15,-1.9405,313876.18,240625.399
