,order_time,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20130422,8.426296,5500,46344.628000000004,47.271520560000006,46391.89952056001,5500,46344.628000000004,53953.68763490634,0.0,100298.31563490635,0.0,0.00042111074314377106
1,20130424,8.608234418181818,5300,45623.64241636363,46.53611526469091,45670.17853162832,10800,92968.93171636363,8288.904606925746,0.0,101257.83632328938,0.0,-0.0012218973828179713
2,20130425,8.790172836363636,5200,45708.898749090906,46.623076724072725,45755.521825814976,16000,140642.76538181817,0.0,37466.20277365888,103176.56260815929,0.36312706904131753,-0.008589212145111214
3,20130506,8.973912,5100,45766.9512,46.682290224,45813.633490224005,21100,189349.54320000001,0.0,83324.81594300742,106024.7272569926,0.7858998376957572,-0.010120684840256633
4,20130624,9.429871,-21100,-198970.2781,401.919961762,-198568.358138238,0,0.0,114439.89315922339,0.0,114439.89315922339,0.0,0.14878634278733127
5,20130702,10.520018,4200,44184.075600000004,45.06775711200001,44229.14335711201,4200,44184.075600000004,70245.08606184131,0.0,114429.16166184132,0.0,0.1488661645774586
6,20130703,10.787764490909092,4100,44229.83441272728,45.114431100981825,44274.948843828264,8300,89538.44527454546,25973.649472316152,0.0,115512.0947468616,0.0,0.14081121619914982
7,20130708,9.956451,-8300,-82638.54329999999,166.929857466,-82471.61344253398,0,0.0,108449.15915707662,0.0,108449.15915707662,0.0,0.19334593174343684
8,20130712,10.852207000000002,3700,40153.16590000001,40.956229218000004,40194.122129218005,3700,40153.16590000001,68276.72848648168,0.0,108429.89438648168,0.0,0.19348922474538555
9,20130715,11.14195110909091,3600,40111.02399272727,40.913244472581816,40151.937237199854,7300,81336.24309636364,28128.205085706148,0.0,109464.44818206978,0.0,0.18579412563601683
10,20130723,11.431695218181819,3500,40010.93326363637,40.8111519289091,40051.74441556528,10800,123462.30835636365,0.0,11915.099813455385,111547.20854290827,0.10681665609652677,0.17030237695550865
11,20130724,11.721439327272728,3400,39852.89371272727,40.64995158698182,39893.54366431425,14200,166444.43844727275,0.0,51812.21800771367,114632.22043955908,0.4519865166097184,0.14735579612080707
12,20130730,10.852207000000002,-14200,-154101.33940000003,311.28470558800007,-153790.054694412,0,0.0,101915.63404089522,0.0,101915.63404089522,0.0,0.24194284716433667
13,20130802,11.749867,3100,36424.587700000004,37.153079454,36461.740779454005,3100,36424.587700000004,65469.181370927385,0.0,101893.76907092739,0.0,0.24210548067034032
14,20130826,12.07334889090909,3000,36220.04667272727,36.94444760618182,36256.991120333456,6100,73647.42823454544,29264.585241028777,0.0,102912.01347557422,0.0,0.23453169219773273
