,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002179.SZ,20181228,33.5,34.23,32.82,33.68,33.41,0.27,0.8081,55487.75,186469.06
1,002179.SZ,20181227,34.09,34.75,33.22,33.41,33.87,-0.46,-1.3581,67545.85,229004.759
2,002179.SZ,20181226,33.76,34.87,33.7,33.87,33.98,-0.11,-0.3237,52550.36,179339.728
3,002179.SZ,20181225,33.49,34.2,33.0,33.98,33.2,0.78,2.3494,78236.52,264158.938
4,002179.SZ,20181224,32.26,33.27,31.88,33.2,32.71,0.49,1.498,58226.51,191248.206
5,002179.SZ,20181221,34.1,34.1,31.06,32.71,34.25,-1.54,-4.4964,155231.69,498252.331
6,002179.SZ,20181220,34.45,34.5,33.6,34.25,34.4,-0.15,-0.436,67307.06,229416.408
7,002179.SZ,20181219,35.39,35.47,33.5,34.4,35.3,-0.9,-2.5496,91172.77,314086.409
8,002179.SZ,20181218,36.6,37.3,33.98,35.3,37.75,-2.45,-6.4901,148006.8,520066.777
9,002179.SZ,20181217,37.7,38.3,37.4,37.75,38.07,-0.32,-0.8406,42084.76,159038.303
10,002179.SZ,20181214,38.1,38.7,37.88,38.07,38.16,-0.09,-0.2358,61271.48,234676.743
11,002179.SZ,20181213,37.9,38.35,37.67,38.16,37.7,0.46,1.2202,40047.59,152414.719
12,002179.SZ,20181212,38.39,38.47,37.4,37.7,38.19,-0.49,-1.2831,52932.55,199804.089
13,002179.SZ,20181211,38.23,38.89,37.92,38.19,38.05,0.14,0.3679,40524.52,154951.185
14,002179.SZ,20181210,39.2,39.2,37.99,38.05,39.46,-1.41,-3.5732,54068.38,206768.359
15,002179.SZ,20181207,39.2,39.73,38.99,39.46,38.91,0.55,1.4135,21704.22,85502.185
16,002179.SZ,20181206,39.75,40.1,38.82,38.91,39.99,-1.08,-2.7007,29268.78,115083.006
17,002179.SZ,20181205,39.0,40.19,38.88,39.99,39.6,0.39,0.9848,46239.94,182260.368
18,002179.SZ,20181204,40.1,40.17,39.21,39.6,40.29,-0.69,-1.7126,34294.09,135853.248
19,002179.SZ,20181203,39.61,40.49,39.61,40.29,39.17,1.12,2.8593,41108.36,165452.169
20,002179.SZ,20181130,38.69,39.22,38.42,39.17,38.87,0.3,0.7718,22309.92,86451.107
21,002179.SZ,20181129,38.73,39.42,38.51,38.87,38.48,0.39,1.0135,30386.41,118902.956
22,002179.SZ,20181128,38.45,38.8,37.91,38.48,38.4,0.08,0.2083,21017.52,80673.644
23,002179.SZ,20181127,37.91,38.63,37.91,38.4,37.79,0.61,1.6142,24087.58,92341.19
24,002179.SZ,20181126,38.46,38.5,37.68,37.79,38.29,-0.5,-1.3058,28931.98,109914.895
25,002179.SZ,20181123,38.75,38.96,38.0,38.29,38.79,-0.5,-1.289,27092.97,103763.467
26,002179.SZ,20181122,38.98,39.15,38.51,38.79,38.82,-0.03,-0.0773,12408.8,48119.196
27,002179.SZ,20181121,39.25,39.35,38.6,38.82,39.56,-0.74,-1.8706,23066.54,89643.109
28,002179.SZ,20181120,39.54,40.95,39.13,39.56,39.85,-0.29,-0.7277,58649.68,235629.557
29,002179.SZ,20181119,40.2,40.5,39.36,39.85,40.2,-0.35,-0.8706,40314.2,159752.129
30,002179.SZ,20181116,40.49,40.76,40.11,40.2,40.45,-0.25,-0.618,30526.16,123358.966
31,002179.SZ,20181115,39.89,40.58,39.58,40.45,39.72,0.73,1.8379,31284.78,125894.687
32,002179.SZ,20181114,39.99,40.23,39.3,39.72,39.99,-0.27,-0.6752,25599.47,101953.254
33,002179.SZ,20181113,38.41,40.38,38.41,39.99,39.03,0.96,2.4596,52765.54,209386.227
34,002179.SZ,20181112,38.69,39.2,38.11,39.03,38.69,0.34,0.8788,36815.14,142797.466
35,002179.SZ,20181109,37.22,38.9,37.22,38.69,37.18,1.51,4.0613,65281.39,250178.541
36,002179.SZ,20181108,39.28,39.36,37.06,37.18,39.0,-1.82,-4.6667,62505.48,238230.635
37,002179.SZ,20181107,39.42,39.7,38.76,39.0,39.42,-0.42,-1.0654,40157.11,157671.51
38,002179.SZ,20181106,39.45,39.52,38.65,39.42,39.45,-0.03,-0.076,25137.73,98499.992
39,002179.SZ,20181105,39.7,39.93,38.62,39.45,40.13,-0.68,-1.6945,52678.98,207067.383
40,002179.SZ,20181102,39.12,40.15,38.39,40.13,38.46,1.67,4.3422,68594.91,269733.104
41,002179.SZ,20181101,38.36,39.2,38.05,38.46,38.3,0.16,0.4178,47885.89,184939.096
42,002179.SZ,20181031,37.91,38.8,37.4,38.3,37.79,0.51,1.3496,39197.91,149880.114
43,002179.SZ,20181030,37.61,38.28,36.52,37.79,37.85,-0.06,-0.1585,49797.86,186149.118
44,002179.SZ,20181029,38.87,38.87,36.85,37.85,39.15,-1.3,-3.3206,74757.84,281782.883
45,002179.SZ,20181026,40.9,41.44,38.41,39.15,40.42,-1.27,-3.142,72530.97,289028.714
46,002179.SZ,20181025,39.9,40.89,39.21,40.42,40.69,-0.27,-0.6636,33690.03,135713.882
47,002179.SZ,20181024,40.3,41.37,40.08,40.69,40.46,0.23,0.5685,29533.28,120287.121
48,002179.SZ,20181023,41.15,41.69,40.15,40.46,41.22,-0.76,-1.8438,36180.58,147662.045
