,order_time,code,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20140102,600566.sh,20.4,1000,20400.0,20.808000000000003,20420.808,1000,20400.0,979629.1920000002,0.0,1000029.1920000002,0.0,2.080695965200885e-05
1,20140102,600438.sh,6.85,3000,20550.0,20.961000000000002,20570.961,3000,20550.0,959058.2310000001,0.0,1000008.2310000001,0.0,4.176691165436175e-05
2,20140102,600998.sh,15.077454545454545,2500,37693.63636363636,38.44750909090909,37732.08387272727,2500,37693.63636363636,921326.1471272729,0.0,999969.7834909093,0.0,8.021249846590361e-05
3,20140102,000661.sz,113.5,200,22700.0,23.154,22723.154,200,22700.0,898602.9931272729,0.0,999946.6294909093,0.0,0.00010336534082378002
4,20140103,600566.sh,21.336,1000,21336.0,21.76272,21357.76272,2000,42672.0,877290.1605569294,0.0,1006848.1605569294,0.0,0.0
5,20140106,000661.sz,117.24581818181818,200,23449.163636363635,23.918146909090908,23473.081783272726,400,46898.32727272727,853860.9432816847,0.0,1007109.2705544119,0.0,0.0
6,20140107,002422.sz,48.48,800,38784.0,39.55968,38823.55968,800,38784.0,815080.0766488488,0.0,1003608.0766488488,0.0,0.00347647867806411
7,20140108,600566.sh,22.272,1000,22272.0,22.717440000000003,22294.71744,3000,66816.0,792826.1132126814,0.0,1008886.1132126814,0.0,0.0
8,20140108,600998.sh,15.472545454545454,2500,38681.36363636363,39.45499090909091,38720.818627272725,5000,77362.72727272726,754105.2945854086,0.0,1009828.0218581359,0.0,0.0
9,20140108,000661.sz,128.0,200,25600.0,26.112000000000002,25626.112,600,76800.0,728479.1825854087,0.0,1014141.909858136,0.0,0.0
10,20140108,002422.sz,49.68054545454545,800,39744.43636363636,40.539325090909095,39784.975688727274,1600,79488.87272727273,688694.2068966815,0.0,1015141.8068966814,0.0,0.0
11,20140109,600566.sh,23.25,1000,23250.0,23.715,23273.715,4000,93000.0,665454.9266070264,0.0,1020248.9266070264,0.0,0.0
12,20140109,600998.sh,15.867636363636363,2500,39669.090909090904,40.462472727272726,39709.55338181818,7500,119007.27272727272,625745.3732252081,0.0,1021646.6459524808,0.0,0.0
13,20140115,600998.sh,16.262727272727272,2500,40656.81818181818,41.469954545454534,40698.28813636363,10000,162627.2727272727,585172.2435499834,0.0,1022387.5162772561,0.0,0.0
14,20140120,300296.sz,21.87,1000,21870.0,22.3074,21892.3074,1000,21870.0,563367.716375381,0.0,1024683.716375381,0.0,0.0072498419205713205
15,20140120,002422.sz,46.078909090909086,-1600,-73726.25454545453,148.92703418181816,-73577.32751127271,0,0.0,636945.0438866537,0.0,1023381.0438866537,0.0,0.008511917523455148
16,20140121,300142.sz,39.75,900,35775.0,36.4905,35811.4905,900,35775.0,601165.4006388482,0.0,1015342.4006388482,0.0,0.01630004202223423
17,20140121,300296.sz,22.829818181818183,1000,22829.818181818184,23.286414545454548,22853.10459636364,2000,45659.63636363637,578312.2960424846,0.0,1016398.9324061209,0.0,0.015276436335704746
