,order_time,code,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20080102,000783.sz,37.7,53600,2020720.0000000002,2061.1344000000004,2022781.1344000003,53600,2020720.0000000002,8099456.902030375,0.0,10120176.902030375,0.0,0.00020362437561560753
1,20080102,600369.sh,9.53,212300,2023218.9999999998,2063.68338,2025282.6833799998,212300,2023218.9999999998,6074174.218650375,0.0,10118113.218650375,0.0,0.0004075005710353352
2,20080102,601390.sh,11.2,180600,2022719.9999999998,2063.1744,2024783.1743999997,180600,2022719.9999999998,4049391.0442503747,0.0,10116050.044250375,0.0,0.0006113264831087983
3,20080102,002001.sz,32.47,62300,2022881.0,2063.33862,2024944.33862,62300,2022881.0,2024446.7056303746,0.0,10113986.705630375,0.0,0.0008151686188671015
4,20080102,000709.sz,24.79,81500,2020385.0,2060.7927,2022445.7927,81500,2020385.0,2000.9129303744994,0.0,10111925.912930375,0.0,0.0010187592371259102
5,20080107,000709.sz,24.79,-81500,-2020385.0,4081.1777,-2016303.8223,0,0.0,2018305.0353823213,0.0,10537259.035382321,0.0,0.0020845358870283937
6,20080108,600704.sh,26.8,81400,2181520.0,2225.1504,2183745.1504,81400,2181520.0,0.0,165339.19976590946,10916160.80023409,0.015146277413059349,0.000203798474432082
7,20080114,601390.sh,11.4,-180600,-2058840.0,4158.8568000000005,-2054681.1432,0,0.0,1889143.4470933457,0.0,11210982.447093345,0.0,0.0013401449401023724
8,20080114,002001.sz,34.1,-62300,-2124430.0,4291.348599999999,-2120138.6514,0,0.0,4009282.0984933455,0.0,11203576.098493345,0.0,0.0019998929197557747
9,20080115,600038.sh,28.25,80200,2265650.0,2310.963,2267960.963,80200,2265650.0,1741521.5995982708,0.0,11337688.59959827,0.0,0.00020378863219916443
10,20080115,600489.sh,134.55,16800,2260440.0,2305.6488,2262745.6488,16800,2260440.0,0.0,521224.04920172924,11335382.950798271,0.04598204149468308,0.00040710864004145364
11,20080124,600489.sh,112.1,-16800,-1883280.0,3804.2255999999998,-1879475.7744,0,0.0,1357156.1690887897,0.0,11066915.16908879,0.0,0.04578489548450926
12,20080125,000938.sz,27.4,83300,2282420.0,2328.0684,2284748.0684,83300,2282420.0,0.0,927524.0415027558,11409853.958497245,0.08129149109853437,0.01621591733856509
13,20080128,000783.sz,29.95,-53600,-1605320.0,3242.7464,-1602077.2536,0,0.0,674274.9548847933,0.0,11549866.954884794,0.0,0.004143671916946645
14,20080129,002085.sz,12.05,184600,2224430.0,2268.9186,2226698.9186,184600,2224430.0,0.0,1552390.2499674624,11125449.750032537,0.13953505564688945,0.04073790809736311
15,20080129,600038.sh,24.8,-80200,-1988960.0,4017.6992,-1984942.3008,0,0.0,432552.0508325377,0.0,11089352.050832538,0.0,0.04385033548011785
16,20080130,600547.sh,215.0,10200,2193000.0,2236.86,2195236.86,10200,2193000.0,0.0,1762663.1815649206,11032085.81843508,0.15977605781668558,0.04878796291264542
17,20080131,600704.sh,21.2,-81400,-1725680.0,3485.8736000000004,-1722194.1264,0,0.0,0.0,40997.85411939002,10528091.14588061,0.0038941393602420983,0.09224355300247278
18,20080131,000938.sz,22.8,-83300,-1899240.0,3836.4648,-1895403.5352,0,0.0,1854405.68108061,0.0,10474274.68108061,0.0,0.09688373346822887
19,20080201,600383.sh,43.68,45900,2004912.0,2045.01024,2006957.01024,45900,2004912.0,0.0,152458.60887533566,10030785.391124664,0.01519906995620029,0.135122409079371
20,20080201,600048.sh,68.7,29200,2006040.0,2046.1607999999999,2008086.1608,29200,2006040.0,0.0,2160544.769675336,10028739.230324663,0.21543533240373147,0.1352988338112675
21,20080201,002085.sz,11.71,-184600,-2161666.0,4366.565320000001,-2157299.43468,0,0.0,0.0,3245.3349953358993,10024372.665004663,0.0003237444480356806,0.13567532920492842
22,20080204,000063.sz,72.0,27100,1951200.0,1990.2240000000002,1953190.224,27100,1951200.0,0.0,1956436.5325958345,9786635.467404166,0.19990900234427195,0.15617358200523934
23,20080204,600547.sh,195.0,-10200,-1989000.0,4017.78,-1984982.22,0,0.0,28545.68740416551,0.0,9851161.687404165,0.0,0.1506099815962233
24,20080205,600438.sh,17.71,117100,2073841.0,2115.3178199999998,2075956.31782,117100,2073841.0,0.0,2047409.2031314643,10371272.796868537,0.19741156589282383,0.10576479492094881
