,order_time,code,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20080102,000783.sz,37.8,5300,200339.99999999997,204.34679999999997,200544.34679999997,5300,200339.99999999997,811679.4568430377,0.0,1012019.4568430377,0.0,0.0002018790698899986
1,20080102,600115.sh,22.15,9100,201565.0,205.59629999999999,201770.5963,9100,201565.0,609908.8605430378,0.0,1011813.8605430378,0.0,0.00040499255058468187
2,20080102,002001.sz,34.68,5800,201144.0,205.16688,201349.16688,5800,201144.0,408559.69366303773,0.0,1011608.6936630377,0.0,0.0006076817970355197
3,20080102,000728.sz,39.02,5100,199002.00000000003,202.98204000000004,199204.98204000003,5100,199002.00000000003,209354.7116230377,0.0,1011405.7116230377,0.0,0.0008082125880222168
4,20080102,600674.sh,34.35,5800,199230.0,203.21460000000002,199433.2146,5800,199230.0,9921.497023037693,0.0,1011202.4970230376,0.0,0.0010089731305708005
5,20080310,600115.sh,14.99,-9100,-136409.0,275.54618,-136133.45382,0,0.0,146076.3044747296,0.0,845403.3044747296,0.0,0.18859533798147743
6,20080311,600369.sh,16.24,10300,167271.99999999997,170.61743999999996,167442.61743999997,10300,167271.99999999997,0.0,21359.009150046622,842072.9908499534,0.025364795430011036,0.19179172009498968
7,20080513,000728.sz,27.7,-5100,-141270.0,285.3654,-140984.6346,0,0.0,119354.84018519628,0.0,878036.8401851963,0.0,0.1572741888051412
8,20080514,600438.sh,20.8,8500,176800.0,180.336,176980.336,8500,176800.0,0.0,57619.52807279445,893487.4719272056,0.06448834469778536,0.1424449178994791
9,20080602,600674.sh,26.25,-5800,-152250.0,307.545,-151942.455,0,0.0,94097.80583336271,0.0,808458.8058333627,0.0,0.22405408089728307
10,20080603,600109.sh,54.98,3000,164940.0,168.2388,165108.2388,3000,164940.0,0.0,71005.72807634561,829812.2719236544,0.08556842370111198,0.20355936335335023
11,20080618,600438.sh,12.79,-8500,-108715.0,219.6043,-108495.3957,0,0.0,37276.3626360473,0.0,622602.3626360473,0.0,0.4024361426638636
12,20080619,600415.sh,89.5,1200,107400.0,109.548,107509.548,1200,107400.0,0.0,70231.32154582089,566527.6784541791,0.12396803230771225,0.45625573376973705
13,20080702,000783.sz,18.2,-5300,-96460.0,194.84920000000002,-96265.1508,0,0.0,25843.976977167287,0.0,616496.9769771673,0.0,0.4082959948324263
14,20080703,600867.sh,17.7,6800,120360.0,122.7672,120482.7672,6800,120360.0,0.0,94637.49802398385,605787.5019760162,0.1562222688901407,0.4185747788136457
15,20080704,600369.sh,12.11,-10300,-124733.0,251.96066000000002,-124481.03934,0,0.0,29815.150066608956,0.0,596055.1500666089,0.0,0.4279157355734545
16,20080707,000839.sz,15.26,8200,125132.0,127.63464,125259.63464,8200,125132.0,0.0,95442.99381588772,627739.0061841123,0.1520424776469838,0.39750607378435177
17,20080711,600415.sh,89.98,-1200,-107976.0,218.11151999999998,-107757.88848,0,0.0,12200.311522007949,0.0,643476.3115220079,0.0,0.3824016581152986
18,20080714,600703.sh,15.25,8000,122000.0,124.44,122124.44,8000,122000.0,0.0,109923.51846241596,611026.481537584,0.17989976176777964,0.41354648945402805
19,20080807,002001.sz,39.0,-5800,-226200.0,456.92400000000004,-225743.076,0,0.0,115224.45446647603,0.0,545722.454466476,0.0,0.4762242572526808
20,20080808,600372.sh,7.51,14100,105891.0,108.00882,105999.00882,14100,105891.0,9231.206869199363,0.0,529656.2068691994,0.0,0.49164438647689035
21,20080808,000839.sz,13.0,-8200,-106600.0,215.33200000000002,-106384.668,0,0.0,115615.87486919937,0.0,535836.8748691994,0.0,0.48571227951321505
22,20080811,000425.sz,17.01,6100,103761.00000000001,105.83622000000001,103866.83622000001,6100,103761.00000000001,11754.819442942826,0.0,518794.81944294285,0.0,0.5020689735905279
23,20080820,600867.sh,13.54,-6800,-92072.0,185.98544,-91886.01456,0,0.0,103644.9488069273,0.0,473883.9488069273,0.0,0.545173713797352
24,20080821,600760.sh,5.29,17900,94691.0,96.58482000000001,94787.58482,17900,94691.0,8862.546234367663,0.0,473708.54623436765,0.0,0.545342062400145
25,20080909,600760.sh,3.54,-17900,-63366.0,127.99932,-63238.00068,0,0.0,72106.3092979334,0.0,405738.3092979334,0.0,0.6105788160735806
26,20080910,600170.sh,9.48,8300,78684.0,80.25768,78764.25768,8300,78684.0,0.0,6654.343066601694,397602.65693339834,0.016736163480206196,0.6183872859745201
27,20080923,000425.sz,14.47,-6100,-88267.0,178.29934,-88088.70066,0,0.0,81418.3703910288,0.0,426497.3703910288,0.0,0.5906545990035627
28,20080924,600549.sh,10.9,7500,81750.0,83.385,81833.385,7500,81750.0,0.0,410.9436904516333,409645.0563095484,0.0010031701447926265,0.6068291823522871
29,20081006,600372.sh,5.16,-14100,-72756.0,146.96712,-72609.03288,0,0.0,72197.71922926107,0.0,408540.71922926104,0.0,0.6078891075390498
30,20081007,600837.sh,22.32,3500,78120.0,79.6824,78199.6824,3500,78120.0,0.0,5998.353284777462,397346.6467152225,0.015096020903572566,0.6186330005150864
31,20081007,600170.sh,9.68,-8300,-80344.0,162.29488,-80181.70512,0,0.0,74183.35183522254,0.0,398678.35183522257,0.0,0.6173548510956524
32,20081008,000425.sz,16.29,4600,74934.0,76.43267999999999,75010.43268,4600,74934.0,0.0,823.3716771856998,380170.6283228143,0.002165795082113893,0.635118270119249
33,20081008,600549.sh,9.55,-7500,-71625.0,144.6825,-71480.3175,0,0.0,70656.9458228143,0.0,383700.9458228143,0.0,0.6317299274634496
34,20081009,600547.sh,42.9,1600,68640.0,70.0128,68710.0128,1600,68640.0,1950.4658701054577,0.0,364023.4658701054,0.0,0.6506160601363332
35,20081009,600109.sh,29.96,-3000,-89880.0,181.55759999999998,-89698.4424,0,0.0,91648.90827010546,0.0,365821.9082701055,0.0,0.6488899436898894
36,20081010,600489.sh,35.4,2000,70800.0,72.216,70872.216,2000,70800.0,20781.27471551897,0.0,366227.274715519,0.0,0.648500879415012
37,20081020,600489.sh,28.63,-2000,-57260.0,115.6652,-57144.3348,0,0.0,77931.8446772834,0.0,311812.8446772834,0.0,0.7007269849677196
38,20081021,600048.sh,15.61,3900,60879.0,62.096579999999996,60941.09658,3900,60879.0,16994.64468951727,0.0,311621.64468951727,0.0,0.7009104956786787
39,20081024,600547.sh,31.88,-1600,-51008.0,103.03616000000001,-50904.96384,0,0.0,67902.15785368266,0.0,319060.15785368264,0.0,0.6937711289078805
40,20081027,000157.sz,11.65,5600,65240.0,66.5448,65306.5448,5600,65240.0,2599.0081615753443,0.0,330828.00816157536,0.0,0.682476533120024
41,20081028,000157.sz,11.39,-5600,-63784.0,128.84368,-63655.15632,0,0.0,66254.29443198342,0.0,319666.29443198344,0.0,0.6931893686487829
42,20081029,600068.sh,6.87,8500,58395.0,59.562900000000006,58454.5629,8500,58395.0,7803.044246705023,0.0,293007.044246705,0.0,0.7187764934822884
43,20081104,600068.sh,6.43,-8500,-54655.0,110.40310000000001,-54544.5969,0,0.0,62349.20187260393,0.0,281965.2018726039,0.0,0.7293742783882583
44,20081105,600809.sh,11.06,4800,53088.0,54.14976,53142.14976,4800,53088.0,9210.169572697567,0.0,268728.16957269754,0.0,0.7420789717134249
45,20081105,600837.sh,16.0,-3500,-56000.0,113.12,-55886.88,0,0.0,65097.049572697564,0.0,272325.04957269755,0.0,0.7386267434275009
46,20081105,000425.sz,11.5,-4600,-52900.0,106.858,-52793.142,0,0.0,117890.19157269757,0.0,274380.1915726976,0.0,0.736654250782767
47,20081106,600760.sh,3.07,17400,53418.0,54.48636,53472.48636,17400,53418.0,64423.599722276216,0.0,268187.5997222762,0.0,0.742597802068661
48,20081106,601169.sh,8.38,6400,53632.00000000001,54.704640000000005,53686.70464000001,6400,53632.00000000001,10736.895082276205,0.0,268132.8950822762,0.0,0.7426503067131249
49,20081110,600048.sh,14.12,-3900,-55068.0,111.23736,-54956.76264,0,0.0,65694.73143862668,0.0,267044.73143862665,0.0,0.7436947088923249
50,20081111,000413.sz,4.25,12900,54825.0,55.9215,54880.9215,12900,54825.0,10817.09467519862,0.0,275448.0946751986,0.0,0.7356292943491134
51,20081117,600809.sh,12.87,-4800,-61775.99999999999,124.78751999999999,-61651.212479999995,0,0.0,72470.47073639548,0.0,302398.47073639545,0.0,0.7097627515245684
52,20081118,600068.sh,9.25,6700,61975.0,63.2145,62038.2145,6700,61975.0,10435.8797599323,0.0,309898.8797599323,0.0,0.7025639780911893
53,20081118,601169.sh,9.52,-6400,-60928.0,123.07456,-60804.92544,0,0.0,71240.8051999323,0.0,311375.8051999323,0.0,0.7011464485155102
54,20081119,600585.sh,25.18,2400,60432.0,61.640640000000005,60493.64064,2400,60432.0,10750.726600192313,0.0,314557.7266001923,0.0,0.6980924909018105
55,20081120,600760.sh,3.57,-17400,-62118.0,125.47836000000001,-61992.52164,0,0.0,72743.78577652232,0.0,295644.7857765223,0.0,0.7162448310636947
56,20081121,600115.sh,4.65,13100,60915.00000000001,62.133300000000006,60977.13330000001,13100,60915.00000000001,11770.289665811135,0.0,305423.2896658111,0.0,0.7068595783667408
57,20081202,600068.sh,8.66,-6700,-58022.0,117.20443999999999,-57904.79556,0,0.0,69679.20544518589,0.0,294672.2054451859,0.0,0.7171782982158301
58,20081203,600482.sh,5.95,10000,59500.0,60.69,59560.69,10000,59500.0,10121.999405458148,0.0,298768.99940545816,0.0,0.7132462604521979
59,20081209,000413.sz,4.85,-12900,-62564.99999999999,126.38129999999998,-62438.61869999999,0,0.0,72562.64265717429,0.0,319037.64265717426,0.0,0.6937927386358251
60,20081210,002271.sz,27.5,2300,63250.0,64.515,63314.515,2300,63250.0,9251.755789307164,0.0,321856.7557893072,0.0,0.6910869986344993
61,20081211,600115.sh,4.32,-13100,-56592.00000000001,114.31584000000001,-56477.684160000004,0,0.0,65729.90253709664,0.0,323751.90253709664,0.0,0.6892680668912398
62,20081212,600674.sh,14.8,4500,66600.0,67.93199999999999,66667.932,4500,66600.0,0.0,934.7429677765031,337407.2570322235,0.002770370074426799,0.6761618745683391
63,20081218,600674.sh,15.0,-4500,-67500.0,136.35,-67363.65,0,0.0,66427.78483579999,0.0,322042.7848358,0.0,0.6909084509108316
64,20081219,002179.sz,15.39,4200,64638.0,65.93076,64703.93076,4200,64638.0,1727.175465041786,0.0,323645.1754650418,0.0,0.6893705018395899
65,20081225,600482.sh,5.36,-10000,-53600.0,108.272,-53491.728,0,0.0,55219.24892604329,0.0,300846.2489260433,0.0,0.7112525493603944
66,20081226,000671.sz,7.47,8300,62001.0,63.241020000000006,62064.24102,8300,62001.0,0.0,6842.231131510402,310572.7688684896,0.02203100792268014,0.7019171900298313
67,20090105,600703.sh,10.03,-8000,-80240.0,162.0848,-80077.9152,0,0.0,73227.46969558796,0.0,324161.469695588,0.0,0.6888749708386805
68,20090106,600522.sh,9.84,6600,64944.0,66.24288,65010.24288,6600,64944.0,8220.888189072757,0.0,327851.8881890728,0.0,0.6853329657926115
69,20090107,000671.sz,6.4,-8300,-53120.0,107.3024,-53012.6976,0,0.0,61233.99683348221,0.0,336522.99683348223,0.0,0.6770105734602152
70,20090108,000961.sz,5.4,12700,68580.0,69.9516,68649.9516,12700,68580.0,0.0,7412.893066676108,342847.1069333239,0.02162157100575374,0.6709407930477549
71,20090119,000961.sz,5.44,-12700,-69088.0,139.55776000000003,-68948.44224,0,0.0,61519.9680805087,0.0,348540.9680805087,0.0,0.665475915568263
72,20090120,000661.sz,14.35,4700,67445.0,68.79390000000001,67513.7939,4700,67445.0,0.0,5990.749821087273,343789.2501789127,0.017425646142133887,0.6700365389270131
73,20090202,600585.sh,30.45,-2400,-73080.0,147.6216,-72932.3784,0,0.0,66934.43644347547,0.0,352570.4364434755,0.0,0.6616084958434267
74,20090203,600703.sh,13.46,5200,69992.0,71.39184,70063.39184,5200,69992.0,0.0,3125.608674702351,355463.39132529765,0.00879305366172572,0.658831883703759
75,20090212,600522.sh,12.45,-6600,-82170.0,165.98340000000002,-82004.0166,0,0.0,78871.8382367258,0.0,397351.8382367258,0.0,0.6186280177752173
76,20090213,601899.sh,8.03,9900,79497.0,81.08694,79578.08694,9900,79497.0,0.0,702.3051113623515,400765.69488863763,0.0017524082532999832,0.6153514523913792
77,20090423,002271.sz,35.88,-2300,-82524.0,166.69848,-82357.30152,0,0.0,81644.81158793843,0.0,535097.8115879385,0.0,0.48642162071021267
78,20090424,600482.sh,14.33,6900,98877.0,100.85454,98977.85454,6900,98877.0,0.0,17328.96071148217,497089.03928851784,0.03486087871960537,0.5229018365765468
79,20090505,000661.sz,15.69,-4700,-73743.0,148.96086,-73594.03914,0,0.0,56233.86289578046,0.0,532645.8628957805,0.0,0.4887749621146248
80,20090506,600487.sh,20.97,5200,109044.0,111.22488,109155.22488,5200,109044.0,0.0,52918.55029107474,547928.4497089252,0.09657930760701793,0.4741069780622167
81,20090506,601899.sh,8.96,-9900,-88704.00000000001,179.18208000000004,-88524.81792000002,0,0.0,35606.26762892528,0.0,547254.2676289253,0.0,0.4747540473129114
82,20090507,000786.sz,11.87,9300,110391.0,112.59882,110503.59882,9300,110391.0,0.0,74895.55087769327,554206.4491223068,0.13514016481819163,0.4680814539541315
83,20090511,002179.sz,18.82,-4200,-79044.0,159.66888,-78884.33112,0,0.0,3943.8361711805337,0.0,491435.83617118053,0.0,0.5283276911248622
84,20090512,000983.sz,23.97,4000,95880.0,97.79759999999999,95977.7976,4000,95880.0,0.0,92033.76423701091,487403.2357629891,0.18882468864397203,0.5321981169369512
85,20090513,000786.sz,10.95,-9300,-101835.0,205.7067,-101629.2933,0,0.0,9567.918933718,0.0,461422.918933718,0.0,0.5571336123205264
86,20090514,000671.sz,15.58,6100,95038.0,96.93876,95134.93876,6100,95038.0,0.0,85566.54143033532,479020.4585696647,0.17862815647964908,0.5402437733228724
