,order_time,code,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20070105,600704.sh,1.12,89200,99904.00000000001,101.90208000000001,100005.90208000001,89200,99904.00000000001,900044.0979200001,0.0,999948.0979200001,0.0,0.00010189698515072898
1,20070105,600028.sh,5.04,19800,99792.0,101.78784,99893.78784,19800,99792.0,800150.3100800001,0.0,999846.3100800001,0.0,0.000203679736013207
2,20070105,600000.sh,3.63,27500,99825.0,101.8215,99926.8215,27500,99825.0,700223.4885800001,0.0,999744.4885800001,0.0,0.0003054961451927074
3,20070105,600518.sh,0.72,138800,99936.0,101.93472000000001,100037.93472,138800,99936.0,600185.5538600001,0.0,999642.5538600001,0.0,0.00040742576871155567
4,20070105,000709.sz,3.13,31900,99847.0,101.84394,99948.84394,31900,99847.0,500236.7099200001,0.0,999540.70992,0.0,0.000509264616769256
5,20070105,000959.sz,3.26,30600,99756.0,101.75112,99857.75112,30600,99756.0,400378.95880000014,0.0,999438.9588000001,0.0,0.0006110106494675582
6,20070105,600085.sh,5.5,18100,99550.0,101.541,99651.541,18100,99550.0,300727.41780000017,0.0,999337.4178000002,0.0,0.0007125465726712799
7,20070105,600050.sh,4.34,23000,99820.0,101.8164,99921.8164,23000,99820.0,200805.60140000016,0.0,999235.6014000002,0.0,0.0008143578821058206
8,20070105,000625.sz,2.97,33600,99792.0,101.78784,99893.78784,33600,99792.0,100911.81356000016,0.0,999133.8135600002,0.0,0.0009161406329682986
9,20070105,600690.sh,1.97,50700,99879.0,101.87658,99980.87658,50700,99879.0,930.9369800001587,0.0,999031.9369800001,0.0,0.0010180121193940073
10,20070108,600028.sh,4.95,-19800,-98010.0,197.9802,-97812.0198,0,0.0,98743.00332684915,0.0,1028195.0033268492,0.0,0.00115407017505742
11,20070108,600000.sh,3.52,-27500,-96800.0,195.536,-96604.464,0,0.0,195347.46732684918,0.0,1027724.4673268492,0.0,0.001611175069474724
12,20070108,000709.sz,3.19,-31900,-101761.0,205.55722,-101555.44278,0,0.0,296902.91010684916,0.0,1027837.9101068492,0.0,0.0015009704305645188
13,20070108,600050.sh,4.18,-23000,-96140.0,194.2028,-95945.7972,0,0.0,392848.7073068492,0.0,1027183.7073068492,0.0,0.002136499490660748
14,20070108,600690.sh,2.02,-50700,-102414.0,206.87628,-102207.12372,0,0.0,495055.8310268492,0.0,1027483.8310268492,0.0,0.0018449425824906829
15,20070109,600027.sh,2.96,35700,105672.0,107.78544,105779.78544,35700,105672.0,389300.7983784006,0.0,1057246.7983784005,0.0,0.00010193878349773478
16,20070109,600886.sh,2.56,41200,105472.0,107.58144000000001,105579.58144,41200,105472.0,283721.21693840064,0.0,1057139.2169384006,0.0,0.00020368463266351444
17,20070109,600795.sh,1.33,79400,105602.0,107.71404000000001,105709.71404,79400,105602.0,178011.50289840065,0.0,1057031.5028984006,0.0,0.00030555588914493725
18,20070109,600390.sh,2.48,42600,105648.0,107.76096,105755.76096,42600,105648.0,72255.74193840065,0.0,1056923.7419384005,0.0,0.0004074715205227841
19,20070109,600535.sh,3.57,29600,105672.0,107.78544,105779.78544,29600,105672.0,0.0,33524.04350159936,1056815.9564984005,0.03172174236721046,0.0005094103040202969
20,20070111,600518.sh,0.81,-138800,-112428.00000000001,227.10456000000002,-112200.89544000001,0,0.0,78656.73449513578,0.0,1094547.7344951357,0.0,0.001482580705355896
21,20070112,000425.sz,1.26,84600,106596.0,108.72792,106704.72792,84600,106596.0,0.0,28044.06058813946,1066805.9394118604,0.026287874440969458,0.026790445095509652
22,20070112,600704.sh,1.18,-89200,-105256.0,212.61712,-105043.38288,0,0.0,76999.32229186055,0.0,1064809.3222918606,0.0,0.028611888702901767
23,20070112,600085.sh,6.12,-18100,-110772.0,223.75944,-110548.24056,0,0.0,187547.56285186054,0.0,1064042.5628518607,0.0,0.02931137638454384
24,20070112,600795.sh,1.31,-79400,-104014.0,210.10827999999998,-103803.89172,0,0.0,291351.45457186055,0.0,1063038.4545718606,0.0,0.03022738906890654
25,20070115,600809.sh,18.3,5600,102480.0,104.5296,102584.5296,5600,102480.0,188781.49254458916,0.0,1039008.4925445891,0.0,0.05214907865176144
26,20070115,600029.sh,3.41,30400,103664.0,105.73728,103769.73728,30400,103664.0,85011.75526458916,0.0,1038902.7552645891,0.0,0.05224553905510565
27,20070115,600332.sh,9.61,10800,103788.0,105.86376,103893.86376,10800,103788.0,0.0,18882.108495410837,1038796.8915045891,0.018176901230482188,0.052342114841707366
28,20070115,000959.sz,3.35,-30600,-102510.0,207.0702,-102302.9298,0,0.0,83420.82130458916,0.0,1037977.8213045892,0.0,0.05308932379070974
29,20070115,600027.sh,2.68,-35700,-95676.0,193.26552,-95482.73448,0,0.0,178903.55578458915,0.0,1036713.5557845891,0.0,0.05424266877928252
30,20070115,600535.sh,3.46,-29600,-102416.0,206.88031999999998,-102209.11968,0,0.0,281112.67546458915,0.0,1036802.6754645891,0.0,0.05416136802822569
31,20070116,600030.sh,9.44,11300,106672.0,108.80544,106780.80544,11300,106672.0,174345.92565836242,0.0,1067171.9256583625,0.0,0.0264565687090923
32,20070116,601607.sh,6.82,15600,106392.0,108.51984,106500.51984,15600,106392.0,67845.40581836243,0.0,1067063.4058183625,0.0,0.026555567544103376
