,order_time,code,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20140722,002602.sz,20.28,10800,219024.0,223.40448,219247.40448,10800,219024.0,876786.0449100742,0.0,1095810.0449100742,0.0,0.00020382998358703386
1,20140722,600760.sh,8.5,25700,218450.0,222.81900000000002,218672.819,25700,218450.0,658113.2259100742,0.0,1095587.225910074,0.0,0.0004071257863967892
2,20140722,600390.sh,14.18,15400,218372.0,222.73944,218594.73944,15400,218372.0,439518.48647007416,0.0,1095364.4864700742,0.0,0.0006103490001809764
3,20140722,600340.sh,28.37,7700,218449.0,222.81798,218671.81798,7700,218449.0,220846.66849007417,0.0,1095141.668490074,0.0,0.0008136438723620465
4,20140722,002555.sz,44.68,4900,218932.0,223.31064,219155.31064,4900,218932.0,1691.3578500741569,0.0,1094918.357850074,0.0,0.0010173882381242505
5,20140729,002555.sz,46.2,-4900,-226380.0,457.2876,-225922.7124,0,0.0,227614.49313182273,0.0,1096489.4931318227,0.0,0.0
6,20140730,600570.sh,29.15,7700,224455.0,228.94410000000002,224683.9441,7700,224455.0,2941.929756479367,0.0,1125785.9297564793,0.0,0.0002033224474343731
7,20140808,600390.sh,13.8,-15400,-212520.0,429.29040000000003,-212090.7096,0,0.0,215033.6691863583,0.0,1104550.6691863583,0.0,0.022342505175303007
8,20140811,600157.sh,4.39,49900,219060.99999999997,223.44222,219284.44221999997,49900,219060.99999999997,0.0,4240.021350182331,1095408.9786498176,0.003870719916326146,0.030433978493589642
9,20140814,002602.sz,22.52,-10800,-243216.0,491.29632000000004,-242724.70368,0,0.0,238480.86516568228,0.0,1147879.8651656823,0.0,0.0
10,20140814,600570.sh,28.98,-7700,-223146.0,450.75492,-222695.24508,0,0.0,461176.1102456823,0.0,1149431.1102456823,0.0,0.0
11,20140815,300033.sz,22.56,10300,232368.0,237.01536,232605.01536,10300,232368.0,228594.15369119463,0.0,1167567.1536911947,0.0,0.00020295813825743636
12,20140815,600606.sh,8.44,27600,232944.0,237.60288000000003,233181.60288,27600,232944.0,0.0,4587.44918880536,1167329.5508111946,0.003929866408005754,0.0004064193745648703
13,20140821,600340.sh,27.1,-7700,-208670.0,421.51340000000005,-208248.4866,0,0.0,203655.52999445004,0.0,1153779.52999445,0.0,0.01200940999220712
14,20140822,002714.sz,54.65,4200,229530.0,234.1206,229764.1206,4200,229530.0,0.0,26098.407829050208,1161232.5921709498,0.02247474623516953,0.005627293560344082
