,order_time,code,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20080110,000783.sz,38.8,5200,201759.99999999997,205.79519999999997,201965.79519999996,5200,201759.99999999997,810561.7135450547,0.0,1012321.7135450547,0.0,0.00020324899641988026
1,20080110,002001.sz,36.8,5500,202399.99999999997,206.44799999999998,202606.44799999997,5500,202399.99999999997,607955.2655450547,0.0,1012115.2655450546,0.0,0.00040714271606401287
2,20080110,600369.sh,12.78,15800,201924.0,205.96248,202129.96248,15800,201924.0,405825.3030650547,0.0,1011909.3030650547,0.0,0.0006105569228100904
3,20080110,600115.sh,20.02,10100,202202.0,206.24604,202408.24604,10100,202202.0,203417.0570250547,0.0,1011703.0570250547,0.0,0.0008142511812067044
4,20080110,000728.sz,43.8,4600,201480.0,205.5096,201685.5096,4600,201480.0,1731.5474250547122,0.0,1011497.5474250547,0.0,0.0010172181112160228
5,20080117,000783.sz,37.0,-5200,-192400.0,388.648,-192011.352,0,0.0,193743.33235520183,0.0,1035573.3323552018,0.0,0.00037515662482789924
6,20080117,002001.sz,36.5,-5500,-200750.0,405.515,-200344.485,0,0.0,394087.8173552018,0.0,1047817.8173552018,0.0,0.0
7,20080117,600369.sh,15.53,-15800,-245374.0,495.65548,-244878.34452,0,0.0,638966.1618752019,0.0,1047322.1618752019,0.0,0.0004730359341006407
8,20080117,600115.sh,21.29,-10100,-215029.0,434.35858,-214594.64142,0,0.0,853560.8032952019,0.0,1055270.8032952019,0.0,0.0
9,20080117,000728.sz,44.0,-4600,-202400.0,408.848,-201991.152,0,0.0,1055551.9552952019,0.0,1055551.9552952019,0.0,0.0
10,20090203,002271.sz,36.89,5700,210273.0,214.47845999999998,210487.47846,5700,210273.0,858394.7933971233,0.0,1068667.7933971235,0.0,0.00020065676608826966
11,20090203,000661.sz,13.86,15400,213444.0,217.71288,213661.71288,15400,213444.0,644733.0805171233,0.0,1068450.0805171235,0.0,0.0004043395155660656
12,20090203,002179.sz,18.57,11500,213555.0,217.8261,213772.8261,11500,213555.0,430960.25441712333,0.0,1068232.2544171233,0.0,0.0006081281887767576
13,20090203,600703.sh,13.46,15800,212668.0,216.92136,212884.92136,15800,212668.0,218075.33305712332,0.0,1068015.3330571232,0.0,0.000811070426393945
14,20090203,600893.sh,16.27,13100,213137.0,217.39974,213354.39974,13100,213137.0,4720.93331712333,0.0,1067797.9333171234,0.0,0.0010144602156381133
15,20090218,600893.sh,16.25,-13100,-212875.0,430.0075,-212444.9925,0,0.0,217168.52297967346,0.0,1212345.5229796735,0.0,0.030727860230796433
16,20090219,601899.sh,8.43,27500,231825.0,236.46150000000003,232061.4615,27500,231825.0,0.0,14882.080094177538,1160143.9199058225,0.012827787862203878,0.07246312344719097
17,20090303,002271.sz,29.4,-5700,-167580.0,338.51160000000004,-167241.4884,0,0.0,152323.65378824447,0.0,1015742.6537882445,0.0,0.18791216131814925
