,order_time,code,price,volume,amount,commision,total,total volume,total value,cash,credit,market value,lever,back
0,20070329,000703.sz,2.32,43200,100224.0,102.22848,100326.22848,43200,100224.0,902427.4873015134,0.0,1002651.4873015134,0.0,0.00010194774488603286
1,20070329,600340.sh,0.98,102300,100254.0,102.25908000000001,100356.25908,102300,100254.0,802071.2282215134,0.0,1002549.2282215134,0.0,0.00020392600573981845
2,20070329,600390.sh,5.92,16900,100048.0,102.04896000000001,100150.04896,16900,100048.0,701921.1792615134,0.0,1002447.1792615134,0.0,0.0003056947236153018
3,20070329,600570.sh,4.38,22800,99864.0,101.86128000000001,99965.86128,22800,99864.0,601955.3179815134,0.0,1002345.3179815134,0.0,0.00040727627688896817
4,20070329,600741.sh,3.45,29000,100050.0,102.051,100152.051,29000,100050.0,501803.2669815135,0.0,1002243.2669815135,0.0,0.0005090470291623239
5,20070329,600674.sh,1.7,58900,100130.0,102.1326,100232.1326,58900,100130.0,401571.13438151346,0.0,1002141.1343815135,0.0,0.0006108991573494649
6,20070329,600704.sh,2.48,40400,100192.0,102.19584,100294.19584,40400,100192.0,301276.93854151346,0.0,1002038.9385415134,0.0,0.0007128143518700947
7,20070329,000961.sz,1.58,63400,100172.0,102.17544,100274.17544,63400,100172.0,201002.76310151344,0.0,1001936.7631015135,0.0,0.0008147092024120006
8,20070329,000786.sz,3.92,25500,99960.0,101.95920000000001,100061.9592,25500,99960.0,100940.80390151344,0.0,1001834.8039015135,0.0,0.0009163884067823203
9,20070329,600438.sh,5.11,19600,100156.0,102.15912,100258.15912,19600,100156.0,682.6447815134452,0.0,1001732.6447815135,0.0,0.0010182669821414692
10,20070330,000961.sz,1.47,-63400,-93198.0,188.25996,-93009.74004,0,0.0,93692.41895375252,0.0,966024.4189537525,0.0,0.036628432535037114
11,20070402,600518.sh,1.45,67100,97295.0,99.2409,97394.2409,67100,97295.0,0.0,3697.1373252997873,973257.8626747002,0.0037987233055989307,0.02941485296200086
12,20070406,600570.sh,4.33,-22800,-98724.0,199.42248,-98524.57752,0,0.0,94823.00163305638,0.0,1043531.0016330564,0.0,0.0
13,20070409,600176.sh,2.84,37500,106500.0,108.63,106608.63,37500,106500.0,0.0,11780.887216861956,1065974.112783138,0.011051757332177036,0.00010189640601121486
14,20070410,600674.sh,1.69,-58900,-99541.0,201.07282,-99339.92718,0,0.0,87555.50569697298,0.0,1098404.505696973,0.0,0.00018624193426408642
15,20070410,600704.sh,2.8,-40400,-113120.0,228.50240000000002,-112891.4976,0,0.0,200447.00329697298,0.0,1098984.003296973,0.0,0.0
16,20070411,600739.sh,14.85,7300,108405.0,110.5731,108515.5731,7300,108405.0,91941.45254713784,0.0,1087353.4525471379,0.0,0.010583002768869476
17,20070411,601991.sh,7.15,15200,108680.0,110.8536,108790.8536,15200,108680.0,0.0,16849.40105286216,1087242.5989471378,0.015497370199786831,0.01068387193499698
18,20070412,600518.sh,1.47,-67100,-98637.0,199.24674,-98437.75326,0,0.0,81583.29738682199,0.0,1087954.297386822,0.0,0.01003627521152406
19,20070413,000627.sz,3.69,29700,109593.0,111.78486000000001,109704.78486,29700,109593.0,0.0,28117.40830830866,1098507.5916916914,0.025596007274750022,0.00043350185612556213
20,20070418,600390.sh,6.79,-16900,-114751.0,231.79702,-114519.20298,0,0.0,86376.48141175446,0.0,1145827.4814117544,0.0,0.0005043915037625801
21,20070418,600741.sh,4.21,-29000,-122090.0,246.6218,-121843.3782,0,0.0,208219.85961175448,0.0,1145580.8596117545,0.0,0.0007195176113644619
22,20070418,600176.sh,2.78,-37500,-104249.99999999999,210.58499999999998,-104039.41499999998,0,0.0,312259.27461175446,0.0,1145370.2746117543,0.0,0.0009032091235072759
23,20070419,600068.sh,7.02,16700,117234.0,119.57868,117353.57868,16700,117234.0,194921.3088954851,0.0,1177751.308895485,0.0,0.0001015210421290158
24,20070419,600031.sh,4.18,28100,117457.99999999999,119.80715999999998,117577.80715999998,28100,117457.99999999999,77343.50173548512,0.0,1177631.5017354852,0.0,0.00020323606137562233
25,20070419,000157.sz,3.11,37800,117558.0,119.90916000000001,117677.90916,37800,117558.0,0.0,40334.40742451488,1177511.5925754851,0.03425393658867882,0.0003050376775500796
26,20070423,000703.sz,2.74,-43200,-118368.00000000001,239.10336000000004,-118128.89664000002,0,0.0,77770.28494093378,0.0,1139838.2849409338,0.0,0.03228927978077212
27,20070423,600340.sh,1.17,-102300,-119691.0,241.77582,-119449.22418,0,0.0,197219.50912093377,0.0,1140619.5091209337,0.0,0.031626028665356576
28,20070423,000786.sz,4.89,-25500,-124694.99999999999,251.88389999999998,-124443.11609999998,0,0.0,321662.62522093375,0.0,1141387.6252209337,0.0,0.030973906172049204
29,20070424,600109.sh,7.44,15500,115320.0,117.6264,115437.6264,15500,115320.0,206241.0819521948,0.0,1159300.0819521947,0.0,0.0157664187299138
30,20070424,600027.sh,7.36,15700,115552.0,117.86304000000001,115669.86304,15700,115552.0,90571.2189121948,0.0,1159182.2189121947,0.0,0.015866483211720128
31,20070424,000413.sz,2.64,43900,115896.0,118.21392,116014.21392,43900,115896.0,0.0,25442.99500780519,1159064.0049921947,0.021951328743037384,0.01596684558695749
32,20070424,600438.sh,6.57,-19600,-128772.0,260.11944,-128511.88056,0,0.0,103068.88555219481,0.0,1159587.885552195,0.0,0.015522076499338233
33,20070425,600837.sh,17.25,6700,115575.0,117.8865,115692.8865,6700,115575.0,0.0,12618.847503527562,1160254.1524964725,0.010875933929110354,0.01495642286844756
34,20070430,601991.sh,7.55,-15200,-114760.0,231.8152,-114528.1848,0,0.0,101897.97692628973,0.0,1192546.9769262897,0.0,0.0008341580288997452
35,20070508,600170.sh,2.35,52600,123610.0,126.0822,123736.0822,52600,123610.0,0.0,21833.010374863952,1238204.9896251361,0.017632791466519488,0.00010181622901050957
36,20070511,600031.sh,3.73,-28100,-104813.0,211.72226,-104601.27774,0,0.0,82748.61176029638,0.0,1258190.6117602964,0.0,0.01295235353170554
37,20070511,000157.sz,2.86,-37800,-108108.0,218.37816,-107889.62184,0,0.0,190638.23360029637,0.0,1257216.2336002963,0.0,0.013716750961322854
38,20070514,600741.sh,5.79,21700,125643.0,128.15586,125771.15586,21700,125643.0,64876.60965197641,0.0,1260370.6096519765,0.0,0.011242150190354794
39,20070514,000661.sz,18.64,6700,124888.0,127.38576,125015.38576,6700,124888.0,0.0,60138.776108023594,1260243.2238919763,0.04771997576967609,0.011342084026632504
40,20070517,600027.sh,6.83,-15700,-107231.0,216.60662000000002,-107014.39338,0,0.0,46821.47613438589,0.0,1261921.476134386,0.0,0.010025498995265059
41,20070518,600115.sh,8.59,15000,128850.0,131.427,128981.427,15000,128850.0,0.0,82157.60979180738,1288506.3902081926,0.06376189549089673,0.00010198909130620937
42,20070522,600068.sh,6.43,-16700,-107381.0,216.90962,-107164.09038,0,0.0,24957.17862813265,0.0,1315869.1786281327,0.0,0.0
43,20070522,000661.sz,16.86,-6700,-112962.0,228.18324,-112733.81676,0,0.0,137690.99538813264,0.0,1316846.9953881325,0.0,0.0
44,20070523,600637.sh,8.27,15900,131493.0,134.12286,131627.12286,15900,131493.0,6070.757077902061,0.0,1321154.757077902,0.0,0.00010150911132034146
45,20070523,000408.sz,6.29,21000,132090.0,134.7318,132224.7318,21000,132090.0,0.0,126153.97472209795,1321020.0252779021,0.09549739769884186,0.00020347909081974702
46,20070525,600170.sh,2.31,-52600,-121506.0,245.44212,-121260.55788,0,0.0,0.0,4969.12058078892,1390256.879419211,0.0035742463528501316,0.0
47,20070528,600372.sh,6.51,22400,145824.0,148.74048000000002,145972.74048,22400,145824.0,0.0,150943.35179696316,1464143.6482030367,0.10309326682680212,0.00010259635602238859
48,20070530,600109.sh,9.55,-15500,-148025.0,299.01050000000004,-147725.9895,0,0.0,0.0,3307.9418929429958,1460727.0581070571,0.002264585895485312,0.011456863374440851
49,20070531,600390.sh,13.88,9700,134636.0,137.32872,134773.32872,9700,134636.0,0.0,138082.26299551086,1348381.7370044892,0.10240591310756617,0.08748625948342881
50,20070531,600837.sh,17.59,-6700,-117853.0,238.06306,-117614.93694,0,0.0,0.0,20467.326055510857,1336686.673944489,0.015311984816241865,0.09540086218500954
51,20070601,000402.sz,10.72,11600,124352.00000000001,126.83904000000001,124478.83904000002,11600,124352.00000000001,0.0,144952.30529332755,1248489.6947066723,0.11610212395656458,0.1550879324099117
52,20070604,600739.sh,27.1,-7300,-197830.0,399.6166,-197430.3834,0,0.0,52434.59241508445,0.0,1192877.5924150844,0.0,0.192723274158773
53,20070604,600741.sh,6.12,-21700,-132804.0,268.26408,-132535.73592,0,0.0,184970.32833508446,0.0,1182627.3283350845,0.0,0.19966011300806108
54,20070604,600372.sh,4.21,-22400,-94304.0,190.49408,-94113.50592,0,0.0,279083.83425508445,0.0,1174820.8342550844,0.0,0.2049431370343926
55,20070605,000627.sz,3.84,-29700,-114048.0,230.37696,-113817.62304,0,0.0,392915.41148679727,0.0,1098800.4114867973,0.0,0.25638975517833873
56,20070605,600637.sh,5.85,-15900,-93015.0,187.8903,-92827.1097,0,0.0,485742.5211867973,0.0,1088277.5211867974,0.0,0.2635110930941359
57,20070605,000402.sz,8.4,-11600,-97440.0,196.8288,-97243.1712,0,0.0,582985.6923867973,0.0,1082860.6923867972,0.0,0.2671769175223183
58,20070606,000413.sz,2.75,-43900,-120725.0,243.86450000000002,-120481.1355,0,0.0,703495.9771714166,0.0,1052458.9771714166,0.0,0.28775119712576125
59,20070606,000408.sz,4.38,-21000,-91980.0,185.7996,-91794.2004,0,0.0,795290.1775714166,0.0,1047443.1775714166,0.0,0.29114562611353856
60,20070606,600390.sh,11.15,-9700,-108155.0,218.4731,-107936.5269,0,0.0,903226.7044714165,0.0,1043926.7044714165,0.0,0.29352538989544474
61,20070618,000423.sz,25.24,4100,103484.0,105.55368000000001,103589.55368,4100,103484.0,799998.5047053981,0.0,1044182.5047053981,0.0,0.2933522777700506
62,20070618,600390.sh,17.56,5900,103603.99999999999,105.67607999999998,103709.67607999999,5900,103603.99999999999,696288.8286253981,0.0,1044076.8286253981,0.0,0.29342379377504935
63,20070618,600816.sh,4.43,23500,104105.0,106.1871,104211.1871,23500,104105.0,592077.6415253981,0.0,1043970.6415253981,0.0,0.29349565561146884
64,20070618,601991.sh,15.01,6900,103569.0,105.64038000000001,103674.64038,6900,103569.0,488403.0011453981,0.0,1043865.0011453981,0.0,0.29356714745658796
65,20070618,600547.sh,9.42,11000,103620.0,105.6924,103725.6924,11000,103620.0,384677.3087453981,0.0,1043759.3087453982,0.0,0.29363867450610315
66,20070618,600029.sh,5.36,19400,103984.0,106.06368,104090.06368,19400,103984.0,280587.2450653981,0.0,1043653.245065398,0.0,0.29371045281836716
67,20070618,000630.sz,4.73,22000,104060.00000000001,106.14120000000001,104166.14120000001,22000,104060.00000000001,176421.1038653981,0.0,1043547.1038653981,0.0,0.29378228359208414
68,20070618,600674.sh,2.47,42200,104234.00000000001,106.31868000000003,104340.31868000001,42200,104234.00000000001,72080.78518539808,0.0,1043440.7851853981,0.0,0.2938542344749173
69,20070618,600482.sh,10.39,10000,103900.0,105.97800000000001,104005.978,10000,103900.0,0.0,31925.19281460192,1043334.8071853981,0.0305991831143125,0.29392595480347006
70,20070625,000423.sz,26.21,-4100,-107461.0,217.07122,-107243.92878,0,0.0,75270.81943488156,0.0,976269.8194348816,0.0,0.3393120062089692
71,20070625,600390.sh,13.1,-5900,-77290.0,156.12580000000003,-77133.8742,0,0.0,152404.69363488158,0.0,970803.6936348816,0.0,0.34301119225028487
72,20070625,600816.sh,4.24,-23500,-99640.0,201.2728,-99438.7272,0,0.0,251843.42083488157,0.0,974362.4208348816,0.0,0.3406028331190166
73,20070625,601991.sh,12.9,-6900,-89010.0,179.80020000000002,-88830.1998,0,0.0,340673.62063488155,0.0,964315.6206348815,0.0,0.3474019783307366
74,20070625,600547.sh,8.88,-11000,-97680.00000000001,197.31360000000004,-97482.68640000002,0,0.0,438156.30703488155,0.0,963458.3070348816,0.0,0.34798216302062246
75,20070625,600029.sh,5.03,-19400,-97582.0,197.11564,-97384.88436,0,0.0,535541.1913948816,0.0,962097.1913948816,0.0,0.34890329439599344
76,20070625,000630.sz,3.95,-22000,-86900.0,175.538,-86724.462,0,0.0,622265.6533948816,0.0,961041.6533948816,0.0,0.3496176269193463
77,20070625,600674.sh,2.05,-42200,-86509.99999999999,174.75019999999998,-86335.24979999999,0,0.0,708600.9031948816,0.0,959600.9031948816,0.0,0.35059265077058344
78,20070625,600482.sh,11.16,-10000,-111600.0,225.43200000000002,-111374.568,0,0.0,819975.4711948816,0.0,960675.4711948816,0.0,0.3498654397455382
79,20070726,600109.sh,14.91,6400,95424.0,97.33248,95521.33248,6400,95424.0,725397.6293228108,0.0,961521.6293228108,0.0,0.3492928044915926
80,20070726,600383.sh,7.58,12600,95508.0,97.41816,95605.41816,12600,95508.0,629792.2111628108,0.0,961424.2111628108,0.0,0.349358731971279
81,20070726,600029.sh,7.28,13200,96096.0,98.01792,96194.01792,13200,96096.0,533598.1932428108,0.0,961326.1932428108,0.0,0.34942506533694406
82,20070726,000627.sz,4.72,20300,95816.0,97.73232,95913.73232,20300,95816.0,437684.4609228108,0.0,961228.4609228107,0.0,0.3494912054235717
83,20070726,002142.sz,14.09,6800,95812.0,97.72824,95909.72824,6800,95812.0,341774.73268281075,0.0,961130.7326828107,0.0,0.34955734274907013
84,20070726,601991.sh,15.01,6400,96064.0,97.98528,96161.98528,6400,96064.0,245612.74740281075,0.0,961032.7474028107,0.0,0.3496236540257024
85,20070726,600048.sh,6.41,14900,95509.0,97.41918,95606.41918,14900,95509.0,150006.32822281076,0.0,960935.3282228108,0.0,0.34968958219567103
86,20070726,600704.sh,3.97,24200,96074.0,97.99548,96171.99548,24200,96074.0,53834.33274281076,0.0,960837.3327428107,0.0,0.34975590037512605
87,20070726,600489.sh,7.32,13100,95892.0,97.80984,95989.80984,13100,95892.0,0.0,42155.47709718924,960739.5229028107,0.04387815437197719,0.34982209292320676
88,20070731,600489.sh,7.45,-13100,-97595.0,197.1419,-97397.8581,0,0.0,55204.42969030627,0.0,995164.4296903063,0.0,0.3265251291647252
89,20070801,600346.sh,2.4,41300,99120.0,101.1024,99221.1024,41300,99120.0,0.0,44013.91248820921,992487.0875117908,0.044347088281575575,0.3283370133358855
90,20070809,000627.sz,4.5,-20300,-91350.0,184.52700000000002,-91165.473,0,0.0,47072.27602675731,0.0,1102892.2760267572,0.0,0.25362059677565896
91,20070810,000898.sz,22.34,5000,111700.0,113.934,111813.934,5000,111700.0,0.0,64739.30435944134,1119187.6956405586,0.057844903595360105,0.2425927150586379
92,20070814,600383.sh,7.99,-12600,-100674.0,203.36148,-100470.63852,0,0.0,35692.4847514056,0.0,1067776.4847514057,0.0,0.27738511476672667
93,20070815,601600.sh,34.49,3000,103470.0,105.5394,103575.5394,3000,103470.0,0.0,67881.27002435681,1069005.729975643,0.06349944450335496,0.2765532263431464
94,20070817,002142.sz,13.26,-6800,-90168.0,182.13936,-89985.86064,0,0.0,22063.855744314264,0.0,1072087.8557443144,0.0,0.27446740595806696
95,20070820,600208.sh,6.47,16300,105461.0,107.57021999999999,105568.57022,16300,105461.0,0.0,83503.61128289852,1057844.3887171014,0.07893751876319668,0.28410663424055693
96,20070824,600109.sh,18.83,-6400,-120511.99999999999,243.43423999999996,-120268.56575999998,0,0.0,36664.70504259283,0.0,1142964.7050425927,0.0,0.22650168742728716
97,20070827,000703.sz,4.04,28600,115544.0,117.85488,115661.85488,28600,115544.0,0.0,78995.31660215504,1159230.683397845,0.06814460463607662,0.2154937300033849
98,20070827,601991.sh,19.52,-6400,-124928.0,252.35456,-124675.64544,0,0.0,45680.32883784495,0.0,1158978.328837845,0.0,0.2156645102781115
99,20070828,600015.sh,8.21,14200,116582.00000000001,118.91364000000003,116700.91364000001,14200,116582.00000000001,0.0,71018.30078571316,1170466.6992142869,0.06067519975868298,0.20788978629828658
100,20070829,600346.sh,2.81,-41300,-116053.0,234.42705999999998,-115818.57294,0,0.0,44778.96666405113,0.0,1199143.9666640512,0.0,0.18848252211617655
101,20070830,600570.sh,9.15,13000,118950.0,121.32900000000001,119071.329,13000,118950.0,0.0,74290.12338761566,1194185.8766123843,0.06220984927267665,0.1918378963211963
102,20070830,600208.sh,6.03,-16300,-98289.0,198.54378,-98090.45622,0,0.0,23800.33283238433,0.0,1194313.3328323844,0.0,0.19175164066460249
103,20070831,600482.sh,19.05,6100,116205.0,118.5291,116323.5291,6100,116205.0,0.0,92522.00625097405,1177990.993749026,0.0785422017162604,0.202797740060775
104,20070831,600048.sh,8.28,-14900,-123371.99999999999,249.21143999999998,-123122.78855999999,0,0.0,30600.782309025934,0.0,1178337.782309026,0.0,0.20256305182867462
105,20070903,600176.sh,5.13,23500,120555.0,122.96610000000001,120677.9661,23500,120555.0,0.0,90075.65375185861,1209667.3462481415,0.07446316049716796,0.18136085307867766
106,20070913,600015.sh,8.51,-14200,-120842.0,244.10084,-120597.89916,0,0.0,30305.836712244054,0.0,1335679.836712244,0.0,0.09608223659380888
107,20070914,601919.sh,37.59,3500,131565.0,134.1963,131699.1963,3500,131565.0,0.0,101391.84429592034,1344671.1557040797,0.07540270635375593,0.08999738547171876
108,20070918,601600.sh,46.72,-3000,-140160.0,283.1232,-139876.8768,0,0.0,38424.18827223612,0.0,1443998.1882722361,0.0,0.022778081371282122
