,date,date_str,open,high,low,close,long_wave,short_wave,long_high,short_low,state,key_prices
0,735775.0,20150626,16.34,19.61,16.34,19.61,3.2699999999999996,3.2699999999999996,19.61,16.34,0,0.0
1,735778.0,20150629,21.57,21.57,21.57,21.57,3.2699999999999996,3.2699999999999996,19.61,16.34,0,0.0
2,735779.0,20150630,23.73,23.73,23.73,23.73,2.4524999999999997,2.1799999999999997,21.57,16.34,0,0.0
3,735780.0,20150701,26.1,26.1,26.1,26.1,1.6349999999999998,1.9619999999999997,23.73,16.34,0,0.0
4,735781.0,20150702,28.71,28.71,28.71,28.71,1.8685714285714283,1.3079999999999998,26.1,16.34,0,0.0
5,735782.0,20150703,31.58,31.58,31.58,31.58,1.4014285714285712,1.9619999999999997,28.71,16.34,0,0.0
6,735785.0,20150706,34.74,34.74,34.74,34.74,0.9342857142857142,1.6349999999999998,31.58,16.34,0,0.0
7,735786.0,20150707,38.21,38.21,33.25,37.56,1.8685714285714283,1.0899999999999999,34.74,16.34,0,0.0
8,735787.0,20150708,33.8,36.8,33.8,35.3,1.989285714285714,1.4769999999999999,38.21,16.34,0,0.0
9,735788.0,20150709,35.0,38.83,35.0,38.83,1.7948214285714283,1.45,38.21,16.34,0,0.0
10,735789.0,20150710,42.71,42.71,42.71,42.71,1.6596428571428572,2.3879999999999995,38.83,16.34,0,0.0
11,735792.0,20150713,46.98,46.98,46.98,46.98,1.7764285714285712,2.2245,42.71,16.34,0,0.0
12,735793.0,20150714,51.68,51.68,51.68,51.68,1.5428571428571427,1.6794999999999998,46.98,16.34,0,0.0
13,735794.0,20150715,56.85,56.85,55.0,56.73,1.3092857142857142,1.5704999999999998,51.68,16.34,0,0.0
14,735795.0,20150716,51.06,62.0,51.06,59.4,2.238928571428571,1.3359999999999999,56.85,16.34,0,0.0
15,735796.0,20150717,58.0,61.7,53.46,56.8,2.5128571428571425,2.21,62.0,16.34,0,0.0
16,735799.0,20150720,53.99,56.85,53.0,53.97,2.398392857142857,2.4585,62.0,16.34,0,0.0
17,735800.0,20150721,52.1,55.7,51.68,54.57,2.1271428571428572,2.3785,62.0,16.34,0,0.0
18,735801.0,20150722,54.01,60.03,53.68,60.03,2.3874999999999997,2.525,62.0,16.34,0,0.0
19,735802.0,20150723,59.2,66.03,54.5,66.03,2.380714285714286,2.6790000000000003,62.0,16.34,0,0.0
20,735803.0,20150724,69.77,72.63,66.99,68.81,2.5589285714285714,3.092,66.03,16.34,0,0.0
21,735806.0,20150727,66.01,72.59,61.93,61.93,3.2275,3.2105000000000006,72.63,21.57,0,0.0
22,735807.0,20150728,55.74,64.0,55.74,58.3,3.4914285714285715,3.7435,72.63,23.73,0,0.0
23,735808.0,20150729,58.99,62.5,52.47,61.98,3.5820535714285717,4.156499999999999,72.63,26.1,0,0.0
24,735809.0,20150730,61.49,68.18,59.5,64.58,3.735892857142858,4.658,72.63,28.71,0,0.0
